,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,60237116.568335,0.173964,79247615852.0,346261436.0,346261436.0,18482131037.0,36582249329.0,699010188256.0,79593877288.0,43011627959.0,-16089843613.0,16557521860.0,467678247.0,18196106717.568336,18482131037.0,853829495201.0,,42265398211.0,8983000000.0,8983000000.0,2.01,2.01,18022000000.0,18022000000.0,460000000.0,18482131037.0,-3369905911.0,21852036948.0,21852036948.0,4602069151.0,26454106099.0,1092491184.0,,,,,,746229748.0,346261436.0,-16089843613.0,16557521860.0,467678247.0,41451458528.0,154819306945.0,-25092205958.0,179911512903.0,149807313222.0,30104199681.0,30104199681.0,196270765473.0,699010188256.0,895280953729.0,895280953729.0
2022-12-31,-1708066.060646,0.192263,73466853595.0,-8884024.0,-8884024.0,13271707922.0,36544236390.0,651099714363.0,73457969571.0,36913733181.0,-16548699816.0,16831829624.0,283129808.0,13278883879.939354,13271707922.0,793290711477.0,,36082309790.0,8983000000.0,8983000000.0,1.39,1.39,12493000000.0,12493000000.0,779000000.0,13271707922.0,-2949195496.0,16220903418.0,16220903418.0,3861000139.0,20081903557.0,822539367.0,,0.0,0.0,0.0,0.0,831423391.0,-8884024.0,-16548699816.0,16831829624.0,283129808.0,35808064006.0,142190997114.0,-23222881871.0,165413878985.0,136751074557.0,28662804428.0,28662804428.0,177999061120.0,651099714363.0,829098775483.0,829098775483.0
2021-12-31,53427377.887481,0.041733,48426200035.0,1280224783.0,1280224783.0,12985479957.0,24486039160.0,444771211595.0,49706424818.0,25220385658.0,-12514121986.0,12643003583.0,128881597.0,11758682551.887482,12985479957.0,541022520505.0,,18732559261.0,8983000000.0,8983000000.0,1.33,1.33,11985000000.0,11985000000.0,1000000000.0,12985479957.0,932987381.0,12052492576.0,12052492576.0,524889499.0,12577382075.0,1053750478.0,,872696343.0,1317482006.0,7159086365.0,-6714300702.0,-226474305.0,407528440.0,-12514121986.0,12643003583.0,128881597.0,24037753583.0,96251308910.0,-20615552662.0,116866861572.0,97680470375.0,19186391197.0,19186391197.0,120289062493.0,444771211595.0,565060274088.0,565060274088.0
2020-12-31,32415932.350043,0.143258,48212030116.0,226276309.0,226276309.0,16102416901.0,20649950657.0,410880026805.0,48438306425.0,27788355768.0,-8369456414.0,8525992023.0,156535609.0,15908556524.350042,16102416901.0,498415360339.0,1013000000.0,27851770978.0,8983000000.0,8983000000.0,1.68,1.68,15099416901.0,15099416901.0,1003000000.0,16102416901.0,-400455659.0,16502872560.0,16502872560.0,2759491185.0,19262363745.0,162861099.0,,0.0,0.0,0.0,0.0,-63415210.0,226276309.0,-8369456414.0,8525992023.0,156535609.0,27468959060.0,87535333534.0,-20322864346.0,107858197880.0,91135550810.0,16722647070.0,16722647070.0,115004292594.0,410880026805.0,525884319399.0,525884319399.0
2019-12-31,,,,,,,,,,,,,,,,,9863000000.0,,,,,,,,,,,,,,,,19811000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,
