,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2475,297520573.71,,,63554375.73,194920732.41,1759531254.93,297520573.71,102599841.3,-13450543.97,13450543.97,63554375.73,63554375.73,2136942508.57,,102929741.3,720000000.0,720000000.0,0.09,0.09,63554375.73,63554375.73,63554375.73,-2950971.02,66505346.75,66505346.75,22643950.58,89149297.33,6316319.61,6646219.61,,,-329900.0,,-13450543.97,13450543.97,96283521.69,377411253.64,-21766053.67,399177307.31,399177307.31,399177307.31,,473694775.33,1759531254.93,2233226030.26,2233226030.26
2022-12-31,0.0,0.144,541938787.42,,,322912225.34,161302814.9,1717208740.44,541938787.42,380635972.52,-13045421.81,13045421.81,322912225.34,322912225.34,2039755541.78,,380635972.52,720000000.0,720000000.0,0.45,0.45,322912225.34,322912225.34,322912225.34,8250680.83,314661544.51,314661544.51,52929006.2,367590550.71,3608676.43,3608676.43,,,0.0,,-13045421.81,13045421.81,377027296.09,322546801.34,-16637382.38,339184183.72,339184183.72,339184183.72,,699574097.43,1717208740.44,2416782837.87,2416782837.87
2021-12-31,0.0,0.1708,732706546.04,,,464522021.17,147460260.64,1614609731.81,732706546.04,585246285.4,-15365948.99,15365948.99,464522021.17,464522021.17,1908253092.53,1705159.52,585246285.4,720000000.0,720000000.0,0.65,0.65,464522021.17,464522021.17,464522021.17,-8032105.51,472554126.68,472554126.68,97326209.73,569880336.41,3706006.7,3706006.7,,,,,-15365948.99,15365948.99,581540278.7,293643360.72,-23406437.69,317049798.41,317049798.41,317049798.41,,875183639.42,1614609731.81,2489793371.23,2489793371.23
2020-12-31,0.0,0.1101,307387995.22,0.0,0.0,142887669.49,135323676.82,1363122228.57,307387995.22,172064318.4,-13101841.66,13101841.66,142887669.49,142887669.49,1642562105.23,5047880.28,172064318.4,720000000.0,720000000.0,0.2,0.2,142887669.49,142887669.49,142887669.49,1426257.54,141461411.95,141461411.95,17501064.79,158962476.74,13364819.64,13364819.64,0.0,0.0,,,-13101841.66,13101841.66,158699498.76,279439876.66,,279439876.66,279439876.66,279439876.66,47136728.41,438139375.42,1363122228.57,1801261603.99,1801261603.99
2019-12-31,,,,3193996.22,3193996.22,,,,,,,,,,,9080510.03,,,,,,,,,,,,,,,,33968.5,33968.5,,3160027.72,,,,,193567987.7,,,,46319109.8,,,,
