,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Gain On Sale Of Business,Other Special Charges,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,32819648.434079,0.066054,2066349737.0,496861329.0,496861329.0,1041812874.0,1220513087.0,5683738415.0,2563211066.0,1342697979.0,-188434613.0,203821298.0,15386685.0,577771193.434079,1041812874.0,7825526523.0,886571483.0,886571483.0,1.18,1.18,1041812874.0,1041812874.0,1041812874.0,-21836515.0,1063649389.0,1063649389.0,75227292.0,1138876681.0,601537854.0,35955615.0,,-35955615.0,104676525.0,460905714.0,-188434613.0,,203821298.0,15386685.0,725773440.0,2141788108.0,-40249374.0,-17617156.0,-420645.0,2200075283.0,562397446.0,1637677837.0,1637677837.0,2867561548.0,5683738415.0,8551299963.0,8551299963.0
2022-12-31,58526953.23321,0.160688,1464294216.0,364226693.0,364226693.0,252145319.0,1311470599.0,4611729472.0,1828520909.0,517050310.0,-186226036.0,196640068.0,14304652.0,-53554420.76679,252145319.0,6202243513.0,894667502.0,894667502.0,0.28,0.28,252145319.0,252145319.0,252145319.0,-16778759.0,268924078.0,268924078.0,51486164.0,320410242.0,320407112.0,136327975.0,,-136327975.0,-43819581.0,227898718.0,-186226036.0,3890620.0,196640068.0,14304652.0,186229166.0,1590514041.0,-149327650.0,-15510577.0,-33669630.0,1789021898.0,409099901.0,1379921997.0,1379921997.0,1776743207.0,4611729472.0,6388472679.0,6388472679.0
2021-12-31,592431595.713889,0.18715,232192173.0,3165548763.0,3165548763.0,1581450356.0,1249992370.0,2858470301.0,3397740936.0,2147748566.0,-238527433.0,254219928.0,19609382.0,-991666811.286111,1581450356.0,4434715707.0,894667502.0,894667502.0,1.77,1.77,1581450356.0,1581450356.0,1581450356.0,42295091.0,1539155265.0,1539155265.0,354373373.0,1893528638.0,3557258995.0,2756074.0,,-2756074.0,391710232.0,3162792689.0,-238527433.0,3916887.0,254219928.0,19609382.0,-1425202924.0,1576245406.0,-333134671.0,-19801768.0,54213571.0,1855166506.0,260617487.0,1594549019.0,1594549019.0,151042482.0,2858470301.0,3009512783.0,3009512783.0
2020-12-31,-3263462.64596,0.146199,805875415.0,-22322063.0,-22322063.0,-527492608.0,1241744229.0,3163915329.0,783553352.0,-458190877.0,-159751037.0,174516407.0,14884156.0,-508434007.64596,-527492608.0,4955646777.0,894667502.0,894667502.0,-0.59,-0.59,-527492608.0,-527492608.0,-527492608.0,12713522.0,-540206130.0,-540206130.0,-92501154.0,-632707284.0,717463259.0,1282409.0,0.0,-1282409.0,739785322.0,-23604472.0,-159751037.0,118786.0,174516407.0,14884156.0,-1190419506.0,1791731448.0,-155039677.0,,70140609.0,1876630516.0,325935213.0,1550695303.0,1550695303.0,601311942.0,3163915329.0,3765227271.0,3765227271.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11580936.0,,,,,50540.0,,,,,,-19654058.0,,,,,,,,,
