,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Total Other Finance Cost,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded
2023-12-31,0.0,0.19,,,9706655000.0,-343700000.0,18373081000.0,9706655000.0,9706655000.0,96179212000.0,11450000000.0,11450000000.0,0.85,0.85,9706655000.0,9706655000.0,9706655000.0,9706655000.0,9706655000.0,2300085000.0,12006740000.0,112405000.0,,,-343700000.0,343700000.0,1860304000.0,3535404000.0,565886000.0,2969518000.0,216056000.0,2753462000.0,108185952000.0,108185952000.0,79655939000.0,79655939000.0,79915917000.0,259978000.0
2022-12-31,0.0,0.19,0.0,0.0,9265059000.0,-323761000.0,18002542000.0,9265059000.0,9265059000.0,96085502000.0,10981918000.0,10981918000.0,0.84,0.84,9265059000.0,9265059000.0,9265059000.0,9265059000.0,9265059000.0,2157101000.0,11422160000.0,199470000.0,0.0,0.0,-323761000.0,323761000.0,1741202000.0,3568845000.0,492481000.0,3076364000.0,205804000.0,2870560000.0,107507662000.0,107507662000.0,79905039000.0,79905039000.0,80115916000.0,210877000.0
2021-12-31,12320.0,0.22,56000.0,56000.0,8393520000.0,-296739000.0,16554297000.0,8393476320.0,8393520000.0,97374668000.0,10600000000.0,10600000000.0,0.791842,0.791842,8393520000.0,8393520000.0,8393520000.0,8393520000.0,8393520000.0,2408055000.0,10801575000.0,406460000.0,56000.0,-56000.0,-296739000.0,296739000.0,1763938000.0,3238916000.0,373783000.0,2865133000.0,199832000.0,2665301000.0,108176243000.0,108176243000.0,81683120000.0,81683120000.0,81832843000.0,149723000.0
2020-12-31,0.0,0.2,,,7692322000.0,-262496000.0,16247066000.0,7692322000.0,7692322000.0,97893040000.0,10600000000.0,10600000000.0,0.73,0.73,7692322000.0,7692322000.0,7692322000.0,7692322000.0,7692322000.0,1892589000.0,9584911000.0,270570000.0,,,-262496000.0,262496000.0,2253245000.0,2892790000.0,322081000.0,2570709000.0,,2570709000.0,107477951000.0,107477951000.0,80386637000.0,80386637000.0,80543813000.0,157176000.0
2019-12-31,,,60000.0,60000.0,,,,,,,,,,,,,,,,,,,60000.0,-60000.0,,,,,,,,,,,,,,
