,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Other Special Charges,Write Off,Impairment Of Capital Assets,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,48318168.92,0.14,47367019.0,345129778.0,345129778.0,173792955.0,158591354.0,350215288.0,392496797.0,233905443.0,-34775464.0,34775464.0,-123018654.08,173792955.0,427285758.0,233905443.0,1161096133.0,1161096133.0,0.15,0.15,173792955.0,173792955.0,173792955.0,2424673.0,171368282.0,171368282.0,27761697.0,199129979.0,345129778.0,,345129778.0,,-92137489.0,-36554396.0,-216437893.0,,-34775464.0,34775464.0,-111224335.0,77070470.0,-10102403.0,87172873.0,15587991.0,71584882.0,71584882.0,-34153865.0,350215288.0,316061423.0,316061423.0
2022-12-31,3204535.0,0.2,2452185.0,16022675.0,16022675.0,-167135373.0,134295032.0,292033013.0,18474860.0,-115820172.0,-44200488.0,44200488.0,-179953513.0,-167135373.0,387028491.0,-115820172.0,1088249452.0,1088249452.0,-0.15,-0.15,-167135373.0,-167135373.0,-167135373.0,223372.0,-167358745.0,-167358745.0,7338085.0,-160020660.0,16022675.0,,16022675.0,,-8988955.0,-7033720.0,0.0,,-44200488.0,44200488.0,-131842847.0,94995478.0,-8263205.0,103258683.0,18937348.0,84321335.0,84321335.0,-36847369.0,292033013.0,255185644.0,255185644.0
2021-12-31,0.0,0.019318,-86394742.0,,,-282873667.0,140209796.0,285718733.0,-86394742.0,-226604538.0,-60962270.0,60962270.0,-282873667.0,-282873667.0,403975408.0,-226604538.0,554559992.0,554559992.0,-0.51,-0.51,-282873667.0,-282873667.0,-282873667.0,-862061.0,-282011606.0,-282011606.0,-5555202.0,-287566808.0,,,,,,,,,-60962270.0,60962270.0,-226604538.0,118256675.0,-4710444.0,122967119.0,9972834.0,112994285.0,112994285.0,-108347863.0,285718733.0,177370870.0,177370870.0
2020-12-31,-26549722.54124,0.076258,-13452102.0,-348157614.0,-348157614.0,-540868641.0,171911743.0,391361366.0,-361609716.0,-533521459.0,-54096448.0,54096448.0,-219260749.54124,-540868641.0,464649531.0,-533521459.0,544124723.0,544124723.0,-0.99,-0.99,-540868641.0,-540868641.0,-540868641.0,1938836.0,-542807477.0,-542807477.0,-44810430.0,-587617907.0,-348157614.0,,-348157614.0,,,,348157614.0,0.0,-54096448.0,54096448.0,-185363845.0,73288165.0,-12882737.0,86170902.0,15321191.0,70849711.0,70849711.0,-112075680.0,391361366.0,279285686.0,279285686.0
2019-12-31,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-681119.0,11909819.0,0.0,2412853.0,,,0.0,-681119.0,,,,,,,,,,,,,
