,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.108154,593396157.0,47369866.0,474964000.0,6842839883.0,593396157.0,118432157.0,-64616933.0,65317755.0,700822.0,47369866.0,47369866.0,8108939067.0,,87001193.0,366398859.0,366398859.0,0.129,0.129,47369866.0,47369866.0,47369866.0,0.0,47369866.0,47369866.0,5744536.0,53114402.0,46151142.0,15421000.0,30730142.0,-64616933.0,65317755.0,700822.0,71579933.0,1266099184.0,-5779274.0,1271878458.0,985784206.0,286094252.0,286094252.0,1337679117.0,6842839883.0,8180519000.0,8180519000.0
2022-12-31,0.0,0.2,593469957.0,19215186.0,517454000.0,7315274424.0,593469957.0,76015957.0,-60346465.0,60505822.0,159357.0,19215186.0,19215186.0,8672138680.0,,36307672.0,366398859.0,366398859.0,0.052,0.052,19215186.0,19215186.0,19215186.0,0.0,19215186.0,19215186.0,-3705051.0,15510135.0,54984928.0,15436000.0,39548928.0,-60346465.0,60505822.0,159357.0,20871320.0,1356864256.0,-11829294.0,1368693550.0,1034313065.0,334380485.0,334380485.0,1377735576.0,7315274424.0,8693010000.0,8693010000.0
2021-12-31,0.0,0.190738,773863057.0,205249465.0,474677855.0,7290700824.0,773863057.0,299185202.0,-45369769.0,45559645.0,189876.0,205249465.0,205249465.0,8441198490.0,70248000.0,261477279.0,366398859.0,366398859.0,0.56,0.56,205249465.0,205249465.0,205249465.0,0.0,205249465.0,205249465.0,48376092.0,253625557.0,56848047.0,19330000.0,37518047.0,-45369769.0,45559645.0,189876.0,242147510.0,1150497666.0,-11206285.0,1161703951.0,880894776.0,280809175.0,280809175.0,1392645176.0,7290700824.0,8683346000.0,8683346000.0
2020-12-31,0.0,0.241763,444555045.0,-41168533.0,448873258.0,5937389975.0,444555045.0,-4318213.0,-49481792.0,49976865.0,495073.0,-41168533.0,-41168533.0,7015568379.0,76777000.0,-28582724.0,366398859.0,366398859.0,-0.11,-0.11,-41168533.0,-41168533.0,-41168533.0,0.0,-41168533.0,-41168533.0,-13126545.0,-54295078.0,50152438.0,26383000.0,23769438.0,-49481792.0,49976865.0,495073.0,-54965379.0,1078178404.0,70061718.0,1008116686.0,792583851.0,215532835.0,215532835.0,1023213025.0,5937389975.0,6960603000.0,6960603000.0
2019-12-31,,,,,,,,,,,,,,,289482000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
