,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,123455769.8871,0.2749,-444908835.0,449093379.0,449093379.0,233404529.0,15990212.0,116795413.0,4184544.0,-11805668.0,2012789.0,2012789.0,-92233080.1129,233404529.0,282350666.0,60450000.0,60450000.0,3.86,3.86,233404529.0,233404529.0,233404529.0,1135787.0,232268742.0,232268742.0,88084017.0,320352759.0,330145638.0,15335721.0,445825974.0,445825974.0,-134283462.0,3267405.0,2012789.0,2012789.0,-11805668.0,165555253.0,,165555253.0,69380000.0,96175253.0,96175253.0,153749585.0,116795413.0,270544998.0,270544998.0
2022-12-31,253137.699,0.0795,-7564381.0,3184122.0,3184122.0,-46152858.0,10507205.0,150547959.0,-4380259.0,-14887464.0,188870.0,188870.0,-49083842.301,-46152858.0,314173501.0,60450000.0,60450000.0,-0.76,-0.76,-46152858.0,-46152858.0,-46152858.0,553516.0,-46706374.0,-46706374.0,3441387.0,-43264987.0,-28566393.0,18075599.0,0.0,0.0,-49826114.0,3184122.0,188870.0,188870.0,-14887464.0,163625542.0,-18075599.0,163625542.0,71991719.0,91633823.0,91633823.0,148738078.0,150547959.0,299286037.0,299286037.0
2021-12-31,1430929.9028,0.2428,13415522.0,5893451.0,5893451.0,22695874.0,12160238.0,139863461.0,19308973.0,7148735.0,1153836.0,1153836.0,18233352.9028,22695874.0,298255163.0,60450000.0,60450000.0,0.38,0.38,22695874.0,22695874.0,22695874.0,-155623.0,22851497.0,22851497.0,7328178.0,30179675.0,21877104.0,20280933.0,,,-4297280.0,5893451.0,1153836.0,1153836.0,7148735.0,158391702.0,-20280933.0,158391702.0,67741888.0,90649814.0,90649814.0,165540437.0,139863461.0,305403898.0,305403898.0
2020-12-31,1170721.6752,0.1886,10237261.0,6207432.0,6207432.0,22106426.0,12391676.0,127678513.0,16444693.0,4053017.0,2121926.0,2121926.0,17069715.6752,22106426.0,281264498.0,60450000.0,60450000.0,0.37,0.37,22106426.0,22106426.0,22106426.0,-384878.0,22491304.0,22491304.0,5226594.0,27717898.0,21542955.0,16657899.0,,,-1322376.0,6207432.0,2121926.0,2121926.0,4053017.0,153585985.0,-16657899.0,153585985.0,67358567.0,86227418.0,86227418.0,157639002.0,127678513.0,285317515.0,285317515.0
