,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income From Tax Loss Carryforward,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Provision For Doubtful Accounts,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,139368529.0,0.2,2096680133.0,696842645.0,696842645.0,55329154.0,1936619201.0,11998085097.0,2793522778.0,856903577.0,633904188.0,678748812.0,1312653000.0,-502144962.0,55329154.0,16899145948.0,2277650893.0,752098000.0,752098000.0,0.07,0.07,55329154.0,55329154.0,55329154.0,-48794009.0,104123163.0,,104123163.0,74031602.0,178154765.0,756617782.0,59775137.0,-88817000.0,0.0,88817000.0,,785659645.0,633904188.0,678748812.0,1312653000.0,-1212366646.0,3121644650.0,2824474636.0,35784000.0,5745014.0,157203000.0,157203000.0,98438000.0,30757000.0,67681000.0,67681000.0,,1909278004.0,13777501298.0,15686779302.0,15686779302.0
2022-12-31,229808108.6,0.2,2797394483.0,1149040543.0,1149040543.0,1484855598.0,1770017311.0,15512468169.0,3946435026.0,2176417715.0,670218591.0,523545409.0,1193764000.0,565623163.6,1484855598.0,18268433786.0,2199005606.0,752098000.0,752098000.0,1.97,1.97,1484855598.0,1484855598.0,1484855598.0,-266099683.0,1750955281.0,0.0,1750955281.0,-98082975.0,1652872306.0,1238690101.0,89649558.0,1044528025.0,1230420025.0,185892000.0,,104512518.0,670218591.0,523545409.0,1193764000.0,-256037252.0,1121837306.0,772841728.0,74390000.0,-8213422.0,135889000.0,135889000.0,146930000.0,42766000.0,104164000.0,104164000.0,,865800054.0,17146596480.0,18012396534.0,18012396534.0
2021-12-31,479353635.3,0.06,-9295503856.0,7989227255.0,7989227255.0,-3271774999.0,1839812472.0,30076713803.0,-1306276601.0,-3146089073.0,786364459.0,435476541.0,1221841000.0,-10781648618.7,-3271774999.0,36564190203.0,2191858424.0,752098000.0,752098000.0,-4.34,-4.34,-3260470236.0,-3260470236.0,-3260470236.0,88015991.0,-3348486227.0,11304763.0,-3359790990.0,-221774624.0,-3581565614.0,7912455418.0,-76771837.0,7122332845.0,7099763845.0,-22569000.0,,866894410.0,786364459.0,435476541.0,1221841000.0,-12280385216.0,4839263928.0,4516334490.0,11959000.0,10351438.0,191600000.0,191600000.0,109019000.0,51894000.0,57125000.0,57125000.0,,-7441121288.0,31724926275.0,24283804987.0,24283804987.0
2020-12-31,217093560.6,0.21,2113378860.0,1033778860.0,1033778860.0,695295429.0,1795073448.0,16558350933.0,3147157720.0,1352084272.0,788063322.0,453343678.0,1241407000.0,-121389870.4,695295429.0,21879634124.0,2136206196.0,752098000.0,752098000.0,0.97,0.97,728446070.0,728446070.0,728446070.0,-10907969.0,706203398.0,33150641.0,706203398.0,192537196.0,898740594.0,1177057647.0,143278787.0,16732000.0,0.0,-16732000.0,,1017046860.0,788063322.0,453343678.0,1241407000.0,-1066379741.0,3673933743.0,3384747029.0,19708000.0,6364714.0,147724000.0,147724000.0,115390000.0,55955000.0,59435000.0,59435000.0,2136206196.0,2607554002.0,18205700381.0,20813254383.0,20813254383.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1793104829.0,,,,
