,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.207632,324366865.0,175045883.0,102607386.0,1542458983.0,324366865.0,221759479.0,-1118540.0,1118540.0,175045883.0,175045883.0,1638442218.0,630780000.0,630780000.0,0.28,0.28,175045883.0,175045883.0,175045883.0,217145.0,174828738.0,174828738.0,45812201.0,220640939.0,1755578.0,1755578.0,-1118540.0,1118540.0,220003901.0,95983235.0,95983235.0,35862958.0,60120277.0,60120277.0,315987136.0,1542458983.0,1858446119.0,1858446119.0
2022-12-31,0.0,0.204042,177985776.0,132544916.0,9925890.0,1188775822.0,177985776.0,168059886.0,-982626.0,982626.0,132544916.0,132544916.0,1275804512.0,598106000.0,554190000.0,0.22,0.24,132544916.0,132544916.0,132544916.0,-441555.0,132986471.0,132986471.0,34090789.0,167077260.0,849354.0,849354.0,-982626.0,982626.0,167210532.0,87028690.0,87028690.0,32130292.0,54898398.0,54898398.0,254239222.0,1188775822.0,1443015044.0,1443015044.0
2021-12-31,0.0,0.200588,208990394.0,156974065.0,9358988.0,1471627647.0,208990394.0,199631406.0,-909648.0,909648.0,156974065.0,156974065.0,1564603391.0,465860000.0,450000000.0,0.34,0.35,156974065.0,156974065.0,156974065.0,-1886405.0,158860470.0,158860470.0,39861288.0,198721758.0,2121402.0,2121402.0,-909648.0,909648.0,197510004.0,92975744.0,92975744.0,39048289.0,53927455.0,53927455.0,290485748.0,1471627647.0,1762113395.0,1762113395.0
2020-12-31,0.0,0.202201,147798530.0,111654671.0,5537000.0,1245520107.0,147798530.0,142261530.0,-127151.0,127151.0,111654671.0,111654671.0,1328539478.0,450000000.0,450000000.0,0.248121,0.25,111654671.0,111654671.0,111654671.0,-1740003.0,113394674.0,113394674.0,28739705.0,142134379.0,943336.0,943336.0,-127151.0,127151.0,141318194.0,83019371.0,83019371.0,37256308.0,45763063.0,45763063.0,224337565.0,1245520107.0,1469857672.0,1469857672.0
