,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,64135715.7,0.15,4082196480.0,427571438.0,427571438.0,2402102596.0,1548438418.0,17059099000.0,4509767918.0,2961329500.0,-107685690.0,107685690.0,2038666873.7,2402102596.0,23761051301.0,2815780264.0,3002628245.0,3002628245.0,0.8,0.8,2402102596.0,2402102596.0,2402102596.0,-21035568.0,2423138164.0,,2423138164.0,430505646.0,2853643810.0,660560674.0,87440000.0,93718000.0,93718000.0,,145549236.0,333853438.0,-107685690.0,107685690.0,2300768699.0,6701952301.0,-67469000.0,6769421301.0,4627600638.0,2141820663.0,2141820663.0,9002721000.0,17059099000.0,26061820000.0,47500562000.0
2022-12-31,9419462.08,0.16,3920375424.0,58871638.0,58871638.0,1933769383.0,1597756221.0,18915443000.0,3979247062.0,2381490841.0,-88764006.0,88764006.0,1884317207.08,1933769383.0,25330644257.0,2066597756.0,3021514661.0,3021514661.0,0.64,0.64,1933769383.0,1933769383.0,1933769383.0,9898222.0,1923871161.0,,1923871161.0,368855674.0,2292726835.0,446453723.0,72689000.0,15011000.0,15011000.0,,314893085.0,43860638.0,-88764006.0,88764006.0,1935037743.0,6415201257.0,-84632000.0,6499833257.0,4712113038.0,1787720219.0,1787720219.0,8350239000.0,18915443000.0,27265682000.0,49804259000.0
2021-12-31,58540845.89,0.17,5118230663.0,344357917.0,344357917.0,3254920105.0,1518366503.0,17619127000.0,5462588580.0,3944222077.0,-95548521.0,95548521.0,2969103033.89,3254920105.0,23534807703.0,3680816800.0,3013814912.0,3013814912.0,1.08,1.08,3254920105.0,3254920105.0,3254920105.0,70176680.0,3184743425.0,,3184743425.0,663930131.0,3848673556.0,716747194.0,108984000.0,23523000.0,23523000.0,0.0,263405277.0,320834917.0,-95548521.0,95548521.0,3227474297.0,5915680703.0,-62340000.0,5978020703.0,4249836824.0,1728183879.0,1728183879.0,9143155000.0,17619127000.0,26762282000.0,50959702000.0
2020-12-31,44946523.782612,0.145949,5066515805.0,307960758.0,307960758.0,3504313165.0,1284573272.0,16554063000.0,5374476563.0,4089903291.0,-65382696.0,65382696.0,3241298930.782612,3504313165.0,22226788203.0,3864591329.0,2995139457.0,2995139457.0,1.17,1.17,3504313165.0,3504313165.0,3504313165.0,67166792.0,3437146373.0,,3437146373.0,587374222.0,4024520595.0,733524720.0,164070000.0,74121000.0,21357000.0,-52764000.0,261493962.0,233839758.0,-65382696.0,65382696.0,3356378612.0,5672725203.0,-37700000.0,5710425203.0,3966769097.0,1743656106.0,1743656106.0,9029103815.0,16554063000.0,25583166815.0,25583166815.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
