,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-03-31,4277712.8,0.2,164497021.0,21388564.0,21388564.0,163566821.0,67897589.0,185885585.0,185885585.0,-19779150.0,22318764.0,2539614.0,146455969.8,163566821.0,67897589.0,43987009.0,,202000000.0,202000000.0,0.809737,0.809737,163566821.0,163566821.0,163566821.0,163566821.0,163566821.0,163566821.0,19366901.0,-2021663.0,21388564.0,-19779150.0,22318764.0,2539614.0,163979070.0,,,163979070.0,67897589.0,231876659.0,199974893.0
2023-03-31,7540000.0,0.2,161404432.0,37700000.0,37700000.0,183565256.0,65644606.0,199104432.0,199104432.0,-14633698.0,15539176.0,905478.0,153405256.0,183565256.0,65644606.0,41962366.0,,202000000.0,202000000.0,0.908739,0.908739,183565256.0,183565256.0,183565256.0,183565256.0,183565256.0,183565256.0,35669274.0,-2030726.0,37700000.0,-14633698.0,15539176.0,905478.0,162529680.0,,,162529680.0,65644606.0,228174286.0,197195129.0
2022-03-31,7291937.8,0.2,158323903.0,36459689.0,36459689.0,178940100.0,57937406.0,194783592.0,194783592.0,-15388726.0,15843492.0,454766.0,149772348.8,178940100.0,57937406.0,34414615.0,,202000000.0,202000000.0,0.885842,0.885842,178940100.0,178940100.0,178940100.0,178940100.0,178940100.0,178940100.0,34040594.0,-2419095.0,36459689.0,-15388726.0,15843492.0,454766.0,160288232.0,2419095.0,2419095.0,160288232.0,57937406.0,218225638.0,178992995.0
2021-03-31,6200000.0,0.2,152704030.0,31000000.0,31000000.0,166352907.0,50000195.0,183704030.0,183704030.0,-16909904.0,17351123.0,441219.0,141552907.0,166352907.0,50000195.0,26552161.0,,202000000.0,202000000.0,0.823529,0.823529,166352907.0,166352907.0,166352907.0,166352907.0,166352907.0,166352907.0,21365805.0,-9634195.0,31000000.0,-16909904.0,17351123.0,441219.0,161897006.0,9634195.0,9634195.0,161897006.0,50000195.0,211897201.0,202030661.0
2020-03-31,,,,,,,,,,,,,,,,,37323588.0,,,,,,,,,,,,,,,,,,15054009.0,15054009.0,,,,
