,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Other Special Charges,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,2452569.5691,0.1197,23943975.0,20489303.0,20489303.0,27546531.0,12228984.0,128818857.0,44433278.0,32204294.0,-913321.0,913321.0,9509797.5691,27546531.0,257264164.0,25572000.0,12000000.0,12000000.0,2.3,2.3,27546531.0,27546531.0,27546531.0,27546531.0,27546531.0,3744442.0,31290973.0,24544303.0,4055000.0,,,,,,,20489303.0,-913321.0,913321.0,7660437.0,128445307.0,128445307.0,85885984.0,42559323.0,42559323.0,136105744.0,128818857.0,264924601.0,264924601.0
2022-12-31,11138115.3254,0.3526,20077622.0,31588529.0,31588529.0,20953906.0,16707596.0,133931049.0,51666151.0,34958555.0,-2591677.0,2591677.0,503492.3254,20953906.0,268824892.0,23740000.0,12000000.0,12000000.0,1.75,1.75,20953906.0,20953906.0,20953906.0,20953906.0,20953906.0,11412972.0,32366878.0,36583529.0,4995000.0,,,,,,,31588529.0,-2591677.0,2591677.0,-1625249.0,134893843.0,134893843.0,95940162.0,38953681.0,38953681.0,133268594.0,133931049.0,267199643.0,267199643.0
2021-12-31,362896.0,0.296,2474471.0,1226000.0,1226000.0,-25088014.0,34686978.0,287050073.0,3700471.0,-30986507.0,-4669046.0,4669046.0,-25951118.0,-25088014.0,458777181.0,,12000000.0,12000000.0,-2.09,-2.09,-25088014.0,-25088014.0,-25088014.0,-25088014.0,-25088014.0,-10567539.0,-35655553.0,9543000.0,8317000.0,,,,,,,1226000.0,-4669046.0,4669046.0,-40529573.0,171727108.0,171727108.0,129032449.0,42694659.0,42694659.0,131197535.0,287050073.0,418247608.0,418247608.0
2020-12-31,276822.0,0.273,-20678775.0,1014000.0,1014000.0,-47350193.0,38877495.0,213006108.0,-19664775.0,-58542270.0,-6567896.0,6567896.0,-48087371.0,-47350193.0,443887811.0,,12000000.0,12000000.0,-3.95,-3.95,-47350193.0,-47350193.0,-47350193.0,-47350193.0,-47350193.0,-17759973.0,-65110166.0,12630000.0,11616000.0,,,,,,,1014000.0,-6567896.0,6567896.0,-71171993.0,230881703.0,230881703.0,184246673.0,46635030.0,46635030.0,159709710.0,213006108.0,372715818.0,372715818.0
2019-12-31,,,,,,,,,,,,,,,,155084000.0,,,,,,,,,,,,,,5295640.0,1991000.0,11593000.0,-3947000.0,12235360.0,99804.0,,,,,,,,,,,,,
