,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-4803641.0,0.2,686168896.0,-24018205.0,-24018205.0,501902150.0,134754223.0,662150691.0,662150691.0,-160248541.0,160248541.0,,521116714.0,501902150.0,217002848.0,595480769.0,595480769.0,0.842852,0.842852,501902150.0,501902150.0,501902150.0,501902150.0,501902150.0,501902150.0,-28857936.0,-4839731.0,-24018205.0,-160248541.0,160248541.0,,691008627.0,82248625.0,79413080.0,2835545.0,2835545.0,2835545.0,773257252.0,134754223.0,908011475.0,908011475.0
2022-12-31,24411556.6,0.2,677286725.0,122057783.0,122057783.0,688431775.0,118385965.0,799344508.0,799344508.0,-110912733.0,110912733.0,,590785548.6,688431775.0,186353274.0,595480769.0,595480769.0,1.156094,1.156094,688431775.0,688431775.0,688431775.0,688431775.0,688431775.0,688431775.0,118390070.0,-3667713.0,122057783.0,-110912733.0,110912733.0,,680954438.0,67967309.0,64373150.0,3594159.0,3594159.0,3594159.0,748921747.0,118385965.0,867307712.0,867307712.0
2021-12-31,2233784.2,0.2,568486223.0,11168921.0,11168921.0,487775376.0,91575328.0,579655144.0,579655144.0,-91879768.0,91879768.0,,478840239.2,487775376.0,149506597.0,595480769.0,595480769.0,0.819129,0.819129,487775376.0,487775376.0,487775376.0,487775376.0,487775376.0,487775376.0,15990421.0,4821500.0,11168921.0,-91879768.0,91879768.0,,563664723.0,57931269.0,53991482.0,3939787.0,3939787.0,3939787.0,621595992.0,91575328.0,713171320.0,713171320.0
2020-12-31,3296630.6,0.2,472455541.0,16483153.0,16483153.0,413821569.0,63559150.0,488938694.0,488938694.0,-75117125.0,75117125.0,,400635046.6,413821569.0,111760483.0,431391001.0,431391001.0,0.959273,0.959273,413821569.0,413821569.0,413821569.0,413821569.0,413821569.0,413821569.0,14445395.0,-2037758.0,16483153.0,-75117125.0,75117125.0,,474493299.0,48201333.0,43007762.0,5193571.0,5193571.0,5193571.0,522694632.0,63559150.0,586253782.0,586253782.0
2019-12-31,,,,,,,,,,,,394187.0,,,,,,,,,,,,,,,,,,,394187.0,,,,,,,,,,
