,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2,316937263.0,,,-690301718.0,768558025.0,4503699329.0,316937263.0,-451620762.0,-234390984.0,234390984.0,-690301718.0,-690301718.0,6058538955.0,26692000.0,3808570502.0,3808570502.0,-0.181,-0.181,-690301718.0,-690301718.0,-690301718.0,40005814.0,-730307532.0,,-730307532.0,44295786.0,-686011746.0,-32725535.0,-33205796.0,,,,,480261.0,-234390984.0,234390984.0,-418895227.0,1554839626.0,133679017.0,1421160609.0,117737378.0,1303423231.0,1303423231.0,1135944399.0,4503699329.0,5639643728.0,5639643728.0
2022-12-31,0.0,0.232107,1218183052.0,,,240000486.0,656828124.0,4721205315.0,1218183052.0,561354928.0,-162462602.0,162462602.0,240000486.0,240000486.0,6223606121.0,28024000.0,3808570502.0,3808570502.0,0.063,0.063,240000486.0,240000486.0,240000486.0,-66306157.0,306306643.0,,306306643.0,92585683.0,398892326.0,100401558.0,100529806.0,,,,,-128248.0,-162462602.0,162462602.0,460953370.0,1502400806.0,20598896.0,1481801910.0,85996840.0,1395805070.0,1395805070.0,1963354176.0,4721205315.0,6684559491.0,6684559491.0
2021-12-31,0.0,0.2,954797333.0,0.0,0.0,81217433.0,599532743.0,3644136714.0,954797333.0,355264590.0,-146637646.0,146637646.0,81217433.0,81217433.0,4750477822.0,28225000.0,3671974200.0,3671974200.0,0.022,0.022,81217433.0,81217433.0,81217433.0,-11661214.0,92878647.0,,92878647.0,115748297.0,208626944.0,46966789.0,46893303.0,0.0,0.0,,0.0,73486.0,-146637646.0,146637646.0,308297801.0,1106341108.0,,1106341108.0,61655538.0,1044685570.0,1044685570.0,1414638909.0,3644136714.0,5058775623.0,5058775623.0
2020-12-31,9554916.0,0.2,163266023.0,47774580.0,47774580.0,-511686226.0,571767555.0,2332175097.0,211040603.0,-360726952.0,-132591466.0,132591466.0,-549905890.0,-511686226.0,3103001086.0,18899000.0,3462336820.0,3462336820.0,-0.148,-0.148,-511686226.0,-511686226.0,-511686226.0,25806361.0,-537492587.0,0.0,-537492587.0,44174169.0,-493318418.0,91568448.0,43905082.0,47774580.0,17079077.0,-30695503.0,-30695503.0,-111214.0,-132591466.0,132591466.0,-452295400.0,770825989.0,,770825989.0,56159970.0,714666019.0,714666019.0,318530589.0,2332175097.0,2650705686.0,2650705686.0
2019-12-31,,,,240374977.0,240374977.0,,,,,,,,,,,,,,,,,,,,,-31438891.0,,,,,,240374977.0,240374977.0,0.0,0.0,,,,,,,,,,,,,,
