,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.22,20861376.47,7452026.72,10123888.4,93299195.95,20861376.47,10737488.07,-1082971.54,1082971.54,7452026.72,7452026.72,133028219.11,,10737488.07,10000000.0,10000000.0,0.75,0.75,7452026.72,7452026.72,7452026.72,-48179.99,7500206.71,7500206.71,2154309.82,9654516.53,,,-1082971.54,1082971.54,10737488.07,39729023.16,-2725763.01,42454786.17,20698553.54,21756232.63,21756232.63,50466511.23,93299195.95,143765707.18,143765707.18
2022-12-31,0.0,0.2,27267579.12,10497884.81,12922493.78,104393151.71,27267579.12,14345085.34,-1111337.23,1111337.23,10497884.81,10497884.81,142552783.89,,14345085.34,10000000.0,10000000.0,1.05,1.05,10497884.81,10497884.81,10497884.81,-46773.63,10544658.44,10544658.44,2689089.67,13233748.11,3569664.77,3569664.77,-1111337.23,1111337.23,14345085.34,38159632.18,-1955275.81,40114907.99,19102557.61,21012350.38,21012350.38,52504717.52,104393151.71,156897869.23,156897869.23
2021-12-31,0.0,0.2,21030991.04,6575741.0,14469098.11,100081444.52,21030991.04,6561892.93,-1326555.24,1326555.24,6575741.0,6575741.0,134094359.66,,6561892.93,10000000.0,10000000.0,0.66,0.66,6575741.0,6575741.0,6575741.0,-47037.52,6622778.52,6622778.52,-1387440.83,5235337.69,3012360.17,3012360.17,-1326555.24,1326555.24,6561892.93,34012915.14,-3142459.93,37155375.07,15861430.88,21293944.19,21293944.19,40574808.07,100081444.52,140656252.59,140656252.59
2020-12-31,0.0,0.21,35684327.8,14852108.74,15312516.93,108902514.93,35684327.8,20371810.87,-1423367.91,1423367.91,14852108.74,14852108.74,149957019.39,,20371810.87,10000000.0,10000000.0,1.49,1.49,14852108.74,14852108.74,14852108.74,-55553.35,14907662.09,14907662.09,4040780.87,18948442.96,3147921.0,3147921.0,-1423367.91,1423367.91,20371810.87,41054504.46,-1913407.83,42967912.29,20453233.11,22514679.18,22514679.18,61426315.33,108902514.93,170328830.26,170328830.26
2019-12-31,,,,,,,,,,,,,,5120747.64,,,,,,,,,,,,,,3073905.0,3073905.0,,,,,,,,,,,,,
