,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.0,171039052.0,-159209874.0,-159209874.0,-147885191.0,5551783.0,11829178.0,11829178.0,,,11324683.0,-147885191.0,5551783.0,191300000.0,191300000.0,-0.773054,-0.773054,-147885191.0,-147885191.0,-147885191.0,-147885191.0,-147885191.0,-147885191.0,-159714369.0,-504495.0,-159209874.0,,,11829178.0,,,,,,11829178.0,5551783.0,17380961.0,17380961.0
2022-12-31,0.0,0.0,141202990.0,-128987163.0,-128987163.0,-117605533.0,6428205.0,12215827.0,12215827.0,,,11381630.0,-117605533.0,6428205.0,191300000.0,191300000.0,-0.61477,-0.61477,-117605533.0,-117605533.0,-117605533.0,-117605533.0,-117605533.0,-117605533.0,-129821360.0,-834197.0,-128987163.0,,,12215827.0,,,,,,12215827.0,6428205.0,18644032.0,18644032.0
2021-12-31,0.0,0.0,34501736.0,-40145195.0,-40145195.0,-45990589.0,6713653.0,-5643459.0,-5643459.0,1070194.0,1070194.0,-5845394.0,-45990589.0,6713653.0,191300000.0,191300000.0,-0.240411,-0.240411,-45990589.0,-45990589.0,-45990589.0,-45990589.0,-45990589.0,-45990589.0,-40347130.0,-201935.0,-40145195.0,1070194.0,1070194.0,-5643459.0,1212975.0,687585.0,525390.0,525390.0,525390.0,-5643459.0,6713653.0,1070194.0,1070194.0
2020-12-31,0.0,0.0,83297256.0,-78793032.0,-78793032.0,-74637666.0,7646364.0,4504224.0,4504224.0,4457443.0,4457443.0,4155366.0,-74637666.0,7646364.0,191300000.0,191300000.0,-0.39016,-0.39016,-74637666.0,-74637666.0,-74637666.0,-74637666.0,-74637666.0,-74637666.0,-79141890.0,-348858.0,-78793032.0,4457443.0,4457443.0,4504224.0,1807894.0,729809.0,1078085.0,1078085.0,1078085.0,4504224.0,7646364.0,12150588.0,12150588.0
2019-12-31,,,,,,,,,,12883651.0,12883651.0,,,,,,,,,,,,,,,,,12883651.0,12883651.0,,1361723.0,785255.0,576468.0,576468.0,576468.0,,,,
