,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.148983,83131687.15,61429064.55,7218483.99,480666796.35,83131687.15,75913203.16,-1109062.17,1109062.17,61429064.55,61429064.55,591071551.03,55405647.53,670277373.0,670277373.0,0.0916,0.0916,61429064.55,61429064.55,61429064.55,-2230535.65,63659600.2,63659600.2,11144540.79,74804140.99,20507555.63,,20507555.63,-1109062.17,1109062.17,55405647.53,110404754.68,-5236986.45,115641741.13,46029274.49,69612466.64,69612466.64,165810402.21,480666796.35,646477198.56,646477198.56
2022-12-31,0.0,0.135667,89049933.63,66751963.83,7945817.41,437731348.89,89049933.63,81104116.22,-1857327.12,1857327.12,66751963.83,66751963.83,551163234.85,54445426.94,643230803.0,643230803.0,0.1038,0.1038,66751963.83,66751963.83,66751963.83,-1743680.65,68495644.48,68495644.48,10751144.62,79246789.1,26658689.28,,26658689.28,-1857327.12,1857327.12,54445426.94,113431885.96,-6089731.95,119521617.91,50601181.1,68920436.81,68920436.81,167877312.9,437731348.89,605608661.79,605608661.79
2021-12-31,0.0,0.13,56514199.31,34870373.01,8708754.95,357810802.04,56514199.31,47805444.36,-1636548.79,1636548.79,34870373.01,34870373.01,461547997.94,26865224.47,528106742.0,528106742.0,0.064286,0.064286,34870373.01,34870373.01,34870373.01,-5137980.47,40008353.48,40008353.48,6160542.09,46168895.57,20940219.89,9677007.68,20940219.89,-1636548.79,1636548.79,26865224.47,103737195.9,-9677007.68,113414203.58,46476093.88,66938109.7,66938109.7,130602420.37,357810802.04,488413222.41,488413222.41
2020-12-31,0.0,0.16,95577786.58,40576320.69,9509933.3,393035729.3,95577786.58,86067853.28,-693108.9,693108.9,40576320.69,40576320.69,496163598.11,,274400274.0,274400274.0,0.147873,0.147873,40576320.69,40576320.69,40576320.69,-31507190.5,72083511.19,72083511.19,13291233.19,85374744.38,17373026.31,8697030.82,17373026.31,-693108.9,693108.9,68694826.97,103127868.81,-8697030.82,111824899.63,50268733.8,61556165.83,61556165.83,171822695.78,393035729.3,564858425.08,564858425.08
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,5195436.14,,,,,,,,,,,,,,
