,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income From Tax Loss Carryforward,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2022-12-31,553262.2656,0.0543,1644448097.0,10188992.0,10188992.0,603497213.0,743478331.0,20678860190.0,1654637089.0,911158758.0,-281326000.0,281326000.0,593861483.2656,603497213.0,22149347541.0,650564079.0,904527444.0,1120000000.0,1120000000.0,0.538837,0.538837,603497213.0,603497213.0,603497213.0,7885413.0,595611800.0,0.0,595611800.0,34220958.0,629832758.0,79498536.0,84999077.0,22320547.0,-22320547.0,-15689533.0,10188992.0,-281326000.0,281326000.0,831659922.0,1470487351.0,-22320547.0,1492807898.0,783310714.0,709497184.0,709497184.0,2302147273.0,20678860190.0,22981007463.0,22981007463.0
2021-12-31,17222607.5931,0.2023,1386000243.0,85133997.0,85133997.0,316685298.0,780360892.0,20184612628.0,1471134240.0,690773348.0,-299911000.0,299911000.0,248773908.5931,316685298.0,21572976230.0,551001774.0,623474486.0,1120000000.0,1120000000.0,0.265842,0.265842,297743015.0,297743015.0,297743015.0,4881281.0,292861734.0,-18942283.0,311804017.0,79058331.0,390862348.0,169138575.0,59055287.0,42349121.0,-42349121.0,24949291.0,85133997.0,-299911000.0,299911000.0,521634323.0,1388363602.0,-42349121.0,1430712723.0,757605919.0,673106804.0,673106804.0,1909997925.0,20184612628.0,22094610553.0,22094610553.0
2020-12-31,3695836.527991,0.32075,1232308702.0,11522485.0,11522485.0,92002049.0,772322698.0,19306323200.0,1243831187.0,471508489.0,-335010000.0,335010000.0,84175400.527991,92002049.0,20842426793.0,598294879.0,422701911.0,1120000000.0,1120000000.0,0.105395,0.105395,118042137.0,118042137.0,118042137.0,-714556.0,118756693.0,26040088.0,92716605.0,43781884.0,136498489.0,96392408.0,64091645.0,28028589.0,-28028589.0,20778278.0,11522485.0,-335010000.0,335010000.0,375116370.0,1536103593.0,-28028589.0,1564132182.0,844644896.0,719487286.0,719487286.0,1911219963.0,19306323200.0,21217543163.0,21217543163.0
