,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,1532274.30525,0.197726,659631975.16,7749500.0,7749500.0,462546509.88,80992554.88,1710389898.3,667381475.16,586388920.28,-8557907.73,8557907.73,456329284.18525,462546509.88,2863986744.63,347500000.0,347500000.0,1.33,1.33,462546509.88,462546509.88,462546509.88,-1032536.31,463579046.19,463579046.19,114251966.36,577831012.55,19319505.25,11570005.25,7749500.0,-8557907.73,8557907.73,567069415.03,1153596846.33,1153596846.33,966793785.77,186803060.56,186803060.56,1720666261.36,1710389898.3,3431056159.66,3431056159.66
2022-12-31,1145108.510272,0.191011,582898705.46,5995000.0,5995000.0,417224858.04,68836676.68,1647446052.83,588893705.46,520057028.78,-4328472.88,4328472.88,412374966.550272,417224858.04,2665658421.41,347500000.0,347500000.0,1.2,1.2,417224858.04,417224858.04,417224858.04,5919.88,417218938.16,417218938.16,98509617.74,515728555.9,17956184.3,11961184.3,5995000.0,-4328472.88,4328472.88,502100844.48,1018212368.58,1018212368.58,844989202.63,173223165.95,173223165.95,1520313213.06,1647446052.83,3167759265.89,3167759265.89
2021-12-31,818164.422249,0.200801,450451675.15,4074500.0,4074500.0,294194619.26,81501081.14,1345765461.91,454526175.15,373025094.01,-4913163.42,4913163.42,290938283.682249,294194619.26,2282642157.44,347500000.0,347500000.0,0.85,0.85,294194619.26,294194619.26,294194619.26,0.0,294194619.26,294194619.26,73917311.33,368111930.59,24310261.47,20235761.47,4074500.0,-4913163.42,4913163.42,348714832.54,936876695.53,936876695.53,774670120.44,162206575.09,162206575.09,1285591528.07,1345765461.91,2631356989.98,2631356989.98
2020-12-31,429658.578135,0.19947,406511348.95,2154000.0,2154000.0,276811117.71,53779371.83,1524803511.99,408665348.95,354885977.12,-9101122.69,9101122.69,275086776.288135,276811117.71,2558945054.67,347500000.0,347500000.0,0.8,0.8,276811117.71,276811117.71,276811117.71,0.0,276811117.71,276811117.71,68973736.72,345784854.43,15825115.6,13671115.6,2154000.0,-9101122.69,9101122.69,339060861.52,1034141542.68,1034141542.68,863108099.89,171033442.79,171033442.79,1373202404.2,1524803511.99,2898005916.19,2898005916.19
