,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-2084253.298527,0.249473,503832116.0,-8354613.0,-8354613.0,271553035.0,64295753.0,875360494.0,495477503.0,431181750.0,-51162873.0,69365104.0,18202231.0,277823394.701473,271553035.0,1226486819.0,412355838.0,593885000.0,593885000.0,0.46,0.46,271553035.0,271553035.0,271553035.0,271553035.0,271553035.0,90263611.0,361816646.0,-4857349.0,3497264.0,623681.0,-623681.0,-8978294.0,-51162873.0,69365104.0,18202231.0,417836868.0,351126325.0,96972391.0,,,,254153934.0,254153934.0,254153934.0,768963193.0,875360494.0,1644323687.0,1644323687.0
2022-12-31,2391759.678625,0.211731,365989571.0,11296227.0,11296227.0,199548173.0,68425459.0,697481301.0,377285798.0,308860339.0,-46385174.0,55713084.0,9327910.0,190643705.678625,199548173.0,931834265.0,287920248.0,640000000.0,640000000.0,0.311794,0.311794,199548173.0,199548173.0,199548173.0,199548173.0,199548173.0,53599082.0,253147255.0,13757686.0,2461459.0,11612181.0,-11612181.0,-315954.0,-46385174.0,55713084.0,9327910.0,285774743.0,234352964.0,7344705.0,5581000.0,5581000.0,5581000.0,227008259.0,227008259.0,227008259.0,520127707.0,697481301.0,1217609008.0,1217609008.0
2021-12-31,-1250121.88522,0.214901,12585818.0,-5817187.0,-5817187.0,-74345718.0,70069631.0,261805849.0,6768631.0,-63301000.0,-27892560.0,31395032.0,3502472.0,-69778652.88522,-74345718.0,520023406.0,-61675061.0,640000000.0,640000000.0,-0.116165,-0.116165,-74345718.0,-74345718.0,-74345718.0,-74345718.0,-74345718.0,-20350314.0,-94696032.0,-2550187.0,3267000.0,-5128411.0,5128411.0,-688776.0,-27892560.0,31395032.0,3502472.0,-64253309.0,193381926.0,6674000.0,5234000.0,5234000.0,5234000.0,181473926.0,181473926.0,181473926.0,129128617.0,326641480.0,455770097.0,455770097.0
