,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2,-392158130.0,,,-491523942.0,15072098.0,194957264.0,-392158130.0,-407230228.0,-2733423.0,2733423.0,-491523942.0,-491523942.0,308801732.0,5134910681.0,4585217717.0,-0.106742,-0.106742,-491523942.0,-491523942.0,-491523942.0,,-491523942.0,-491523942.0,81560291.0,-409963651.0,-797534804.0,14989148.0,,,,-812523952.0,,-2733423.0,2733423.0,390305083.0,113844468.0,113994520.0,-150052.0,,,,,,504149551.0,194957264.0,699106815.0,698907815.0
2022-12-31,0.0,0.2299,-194853934.0,0.0,0.0,-161744588.0,12797663.0,117648312.0,-194853934.0,-207651597.0,-2385469.0,2385469.0,-161744588.0,-161744588.0,177551478.0,3610800070.0,2756647289.0,-0.058757,-0.058757,-161744588.0,-161744588.0,-161744588.0,0.0,-161744588.0,-161744588.0,-48292478.0,-210037066.0,-308455933.0,8797447.0,0.0,0.0,,-317253380.0,,-2385469.0,2385469.0,100804256.0,59903166.0,88662381.0,-28759215.0,,,,,,160707422.0,117648312.0,278355734.0,277892734.0
2021-12-31,45481.507638,0.002497,-142998671.0,18214798.0,18214798.0,-150625289.0,24890556.0,92178801.0,-124783873.0,-149674429.0,-1334377.0,1334377.0,-168794605.492362,-150625289.0,250416817.0,3028945854.0,2278514444.0,-0.066201,-0.066201,-150625289.0,-150625289.0,-150625289.0,6455.0,-150631744.0,-150631744.0,-377062.0,-151008806.0,7470759.0,4888629.0,18214798.0,18214798.0,14387000.0,-15632668.0,-486000.0,-1334377.0,1334377.0,-157145389.0,158238016.0,140106005.0,18132011.0,24891000.0,24891000.0,8473000.0,8473000.0,8473000.0,1092627.0,92178801.0,93271428.0,91128428.0
2020-12-31,0.0,0.2,-304263219.0,0.0,0.0,-343729518.0,27260312.0,122808226.0,-304263219.0,-331523531.0,-12440943.0,12440943.0,-343729518.0,-343729518.0,372776176.0,816194327.0,816194327.0,-0.419543,-0.419543,-343729518.0,-343729518.0,-343729518.0,356389.0,-344085907.0,-344085907.0,121433.0,-343964474.0,344615.0,1760237.0,0.0,,0.0,-1415622.0,,-12440943.0,12440943.0,-331869102.0,249967638.0,64597000.0,150480638.0,27260000.0,27260000.0,7630000.0,7630000.0,7630000.0,-81901464.0,122808538.0,40907074.0,39271074.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,30164630.0,,,,,,,,,,,,,,,,,,,,,,,,,,
