,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Write Off,Net Non Operating Interest Income Expense,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,23184441.477,0.2085,128467096.0,111196362.0,111196362.0,291941011.0,102810449.0,1457567131.0,239663458.0,136853009.0,,,203929090.477,291941011.0,2763767315.0,,2504095687.0,2504095687.0,0.117,0.117,291941011.0,291941011.0,291941011.0,-25075650.0,317016661.0,317016661.0,83519566.0,400536227.0,263683362.0,152487000.0,111196362.0,243436994.0,5917793.0,138158425.0,,,136853009.0,1306200184.0,31068823.0,1275131361.0,393899722.0,881231639.0,881231639.0,,1443053193.0,1457567131.0,2900620324.0,2900620324.0
2022-12-31,-16333627.4,0.2,25159622.0,-81668137.0,-81668137.0,-222076150.0,152084982.0,1028723796.0,-56508515.0,-208593497.0,45107116.0,45107116.0,-156741640.4,-222076150.0,2187561379.0,,2504095687.0,2504095687.0,-0.089,-0.089,-222076150.0,-222076150.0,-222076150.0,-83515232.0,-138560918.0,-138560918.0,5590964.0,-132969954.0,75623863.0,157292000.0,-81668137.0,0.0,0.0,81668137.0,45107116.0,45107116.0,-208593497.0,1158837583.0,30412874.0,1128424709.0,278343433.0,850081276.0,850081276.0,30412874.0,950244086.0,1028723796.0,1978967882.0,1978967882.0
2021-12-31,-19781938.2,0.2,20762935.0,-98909691.0,-98909691.0,-248870176.0,152980380.0,860886906.0,-78146756.0,-231127136.0,39494209.0,39494209.0,-169742423.2,-248870176.0,2001982447.0,,2504095687.0,2504095687.0,-0.099,-0.099,-248870176.0,-248870176.0,-248870176.0,-72621943.0,-176248233.0,-176248233.0,17989988.0,-158258245.0,33374309.0,132284000.0,-98909691.0,16281986.0,,115191677.0,39494209.0,39494209.0,-231127136.0,1141095541.0,30774460.0,1110321081.0,268581122.0,841739959.0,841739959.0,30774460.0,909968405.0,860886906.0,1770855311.0,1770855311.0
2020-12-31,-21422338.4,0.2,217488213.0,-107111692.0,-107111692.0,-120194768.0,157739686.0,1074248304.0,110376521.0,-47363165.0,,,-34505414.4,-120194768.0,2273695021.0,528000.0,2504095687.0,2504095687.0,-0.048,-0.048,-120194768.0,-120194768.0,-120194768.0,-63248241.0,-56946527.0,-56946527.0,19262651.0,-37683876.0,9679308.0,116791000.0,-107111692.0,7075001.0,,114186693.0,,,-47363165.0,1199446717.0,29356664.0,1170090053.0,278081624.0,892008429.0,892008429.0,29356664.0,1152083552.0,1074248304.0,2226331856.0,2226331856.0
2019-12-31,,,,,,,,,,,,,,,,17863000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,32478869.0,,,,
