,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-65300200.0,0.2,12403093000.0,-326501000.0,-326501000.0,5699619000.0,4191097000.0,112928118000.0,12076592000.0,7885495000.0,-2075707000.0,2072901000.0,226387000.0,5960819800.0,-13933205000.0,128413082000.0,,4521185000.0,4521185000.0,-3.15,-3.15,-14233205000.0,-14233205000.0,300000000.0,-13933205000.0,-732916000.0,-13200289000.0,-19632824000.0,6432535000.0,-619941000.0,5812594000.0,148670000.0,-204035000.0,-98688000.0,-18593000.0,0.0,80095000.0,679206000.0,-227813000.0,-2075707000.0,229193000.0,2072901000.0,226387000.0,7739631000.0,15484964000.0,-531975000.0,-296084000.0,16313023000.0,8738224000.0,7574799000.0,7574799000.0,23224595000.0,112928118000.0,136152713000.0,136152713000.0
2022-12-31,113576400.0,0.2,13840025000.0,567882000.0,567882000.0,8766844000.0,4323719000.0,128380192000.0,14407907000.0,10084188000.0,-1934640000.0,1891740000.0,63234000.0,8312538400.0,7138003000.0,146631532000.0,,4655133000.0,4655133000.0,1.47,1.47,6838003000.0,6838003000.0,300000000.0,7138003000.0,-265267000.0,7403270000.0,-1628841000.0,9032111000.0,-839663000.0,8192448000.0,1172270000.0,5341000.0,-243581000.0,-17819000.0,208000.0,225970000.0,599047000.0,811463000.0,-1934640000.0,106134000.0,1891740000.0,63234000.0,8954818000.0,18251340000.0,-677876000.0,-226583000.0,19155799000.0,11102738000.0,8053061000.0,8053061000.0,27206158000.0,128380192000.0,155586350000.0,155586350000.0
2021-12-31,157618573.3,0.0823,12951857000.0,1915171000.0,1915171000.0,8012996000.0,4183939000.0,115321167000.0,14867028000.0,10683089000.0,-1679819000.0,1669845000.0,50228000.0,6255443573.3,8012996000.0,132635615000.0,,4655133000.0,4655133000.0,1.66,1.66,7712996000.0,7712996000.0,300000000.0,8012996000.0,-258716000.0,8271712000.0,,8271712000.0,741532000.0,9013244000.0,2280983000.0,634869000.0,-70613000.0,-10501000.0,-24086000.0,36026000.0,-269057000.0,1985784000.0,-1679819000.0,60202000.0,1669845000.0,50228000.0,8412080000.0,17314448000.0,,-156218000.0,17470666000.0,9294733000.0,8175933000.0,8175933000.0,25726528000.0,115321167000.0,141047695000.0,141047695000.0
2020-12-31,92588295.8,0.1001,11993493000.0,924958000.0,924958000.0,6292312000.0,3955475000.0,108984813000.0,12918451000.0,8962976000.0,-1638830000.0,1683978000.0,85608000.0,5459942295.8,6246090000.0,124403944000.0,9530925000.0,4713523000.0,4713523000.0,1.26,1.26,5945267000.0,5945267000.0,300823000.0,6246090000.0,-262922000.0,6509012000.0,-46222000.0,6555234000.0,723764000.0,7278998000.0,919336000.0,521867000.0,9487000.0,-2702000.0,0.0,-12189000.0,-527489000.0,915471000.0,-1638830000.0,40460000.0,1683978000.0,85608000.0,7998492000.0,15419131000.0,,-177120000.0,15596251000.0,7574505000.0,8021746000.0,8021746000.0,23417623000.0,108984813000.0,132402436000.0,132402436000.0
2019-12-31,,,,,,,,,,,,,,,,,5892316000.0,,,,,,,,,,,-102448000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
