,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,324093.302187,0.210884,214600865.0,1536831.0,1536831.0,131400578.0,18813232.0,462839869.0,216137696.0,197324464.0,-3511735.0,3511735.0,130187840.302187,131400578.0,772937473.0,600007425.0,600007425.0,0.22,0.22,131400578.0,131400578.0,131400578.0,-21540118.0,152940696.0,152940696.0,40872033.0,193812729.0,5493463.0,3956632.0,0.0,0.0,0.0,1536831.0,-3511735.0,3511735.0,191831001.0,310097604.0,,310097604.0,195950250.0,114147354.0,114147354.0,501928605.0,462839869.0,964768474.0,964768474.0
2022-12-31,2374710.101293,0.183162,186997681.0,12965050.0,12965050.0,123708283.0,16908643.0,447779873.0,199962731.0,183054088.0,-1974625.0,1974625.0,113117943.101293,123708283.0,764837757.0,600000000.0,600000000.0,0.21,0.21,123708283.0,123708283.0,123708283.0,-24204225.0,147912508.0,147912508.0,33166955.0,181079463.0,15563325.0,7734445.0,9067622.0,-9067622.0,-5136170.0,3897428.0,-1974625.0,1974625.0,167490763.0,317057884.0,,317057884.0,157987267.0,159070617.0,159070617.0,484548647.0,447779873.0,932328520.0,932328520.0
2021-12-31,2058593.000756,0.190545,154909043.0,10803685.0,10803685.0,118573154.0,14141799.0,358568756.0,165712728.0,151570929.0,-5085677.0,5085677.0,109828062.000756,118573154.0,629796998.0,592273973.0,592273973.0,0.2,0.2,118573154.0,118573154.0,118573154.0,0.0,118573154.0,118573154.0,27912098.0,146485252.0,9100805.0,3782536.0,0.0,0.0,-5485416.0,10803685.0,-5085677.0,5085677.0,142470124.0,271228242.0,,271228242.0,135863731.0,135364511.0,135364511.0,413698366.0,358568756.0,772267122.0,772267122.0
2020-12-31,-1614652.064341,0.242029,250537374.0,-6671314.0,-6671314.0,167992157.0,14439436.0,399537104.0,243866060.0,229426624.0,-7792581.0,7792581.0,173048818.935659,167992157.0,730151845.0,540000000.0,540000000.0,0.311097,0.311097,167992157.0,167992157.0,167992157.0,,167992157.0,167992157.0,53641886.0,221634043.0,-5405118.0,1266196.0,,,,-6671314.0,-7792581.0,7792581.0,234831742.0,330614741.0,-205096.0,330614741.0,205576689.0,125038052.0,125038052.0,565446483.0,399537104.0,964983587.0,964983587.0
