,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,210316778.6,0.2,4683233197.0,1051583893.0,1051583893.0,3235111862.0,1073539311.0,5734817090.0,5734817090.0,-2358766069.0,2499705228.0,140939159.0,2393844747.6,3235111862.0,1234486621.0,366984964.0,2608353184.0,2608353184.0,1.240289,1.240289,3235111862.0,3235111862.0,3235111862.0,3235111862.0,3235111862.0,3235111862.0,1076294932.0,24711039.0,1051583893.0,-2358766069.0,2499705228.0,140939159.0,4517582999.0,160947310.0,160947310.0,,,,4678530309.0,1073539311.0,5752069620.0,5752069620.0
2022-12-31,143578660.2,0.2,3754640293.0,717893301.0,717893301.0,2111161980.0,1018232027.0,4472533594.0,4472533594.0,-2361371614.0,2361371614.0,0.0,1536847339.2,2111161980.0,1132076069.0,327585296.0,2608353184.0,2608353184.0,0.809385,0.809385,2111161980.0,2111161980.0,2111161980.0,2111161980.0,2111161980.0,2111161980.0,734956853.0,17063552.0,717893301.0,-2361371614.0,2361371614.0,0.0,3737576741.0,113844042.0,113844042.0,,,,3851420783.0,1018232027.0,4869652810.0,4869652810.0
2021-12-31,97813395.0,0.2,2569962635.0,489066975.0,489066975.0,865890170.0,873639364.0,3059029610.0,3059029610.0,-2193139440.0,2193139440.0,2964145.0,474636590.0,865890170.0,957200211.0,249204952.0,2608353184.0,2608353184.0,0.331968,0.331968,865890170.0,865890170.0,865890170.0,865890170.0,865890170.0,865890170.0,511678931.0,22611956.0,489066975.0,-2193139440.0,2193139440.0,2964145.0,2547350679.0,83560847.0,83560847.0,,,,2630911526.0,873639364.0,3504550890.0,3504550890.0
2020-12-31,-246588930.0,0.2,3250970799.0,-1232944650.0,-1232944650.0,304596492.0,725927999.0,2018026149.0,2018026149.0,-1713429657.0,1713429657.0,7172751.0,1290952212.0,304596492.0,818652016.0,124430490.0,2247213489.0,2247213489.0,0.135544,0.135544,304596492.0,304596492.0,304596492.0,304596492.0,304596492.0,304596492.0,-1211637889.0,21306761.0,-1232944650.0,-1713429657.0,1713429657.0,7172751.0,3229664038.0,92724017.0,92724017.0,,,,3322388055.0,725927999.0,4048316054.0,4048316054.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112239746.0,112239746.0,112239746.0,,,,
