,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.188,264838966.0,168401341.0,43421621.0,2796326964.0,264838966.0,221417345.0,-14302173.0,14302173.0,168401341.0,168401341.0,3216683174.0,67500000.0,216658673.0,536951240.0,536951240.0,0.31,0.31,168401341.0,168401341.0,168401341.0,231804.0,168169537.0,168169537.0,38945635.0,207115172.0,4758672.0,,4758672.0,-14302173.0,14302173.0,216658673.0,420356210.0,-33223999.0,453580209.0,254587225.0,198992984.0,198992984.0,637014883.0,2796326964.0,3433341847.0,3433341847.0
2022-12-31,0.0,0.1883,173693536.0,103330991.0,41154172.0,2558875644.0,173693536.0,132539364.0,-3173737.0,3173737.0,103330991.0,103330991.0,2957366888.0,47510000.0,133296551.0,545648300.0,545648300.0,0.19,0.19,103330991.0,103330991.0,103330991.0,-1679295.0,105010286.0,105010286.0,24355341.0,129365627.0,-757187.0,27854957.0,-757187.0,-3173737.0,3173737.0,133296551.0,398491244.0,-27854957.0,426346201.0,228647319.0,197698882.0,197698882.0,531787795.0,2558875644.0,3090663439.0,3090663439.0
2021-12-31,0.0,0.1894,214702162.0,138338767.0,45103479.0,2118611387.0,214702162.0,169598683.0,-830842.0,830842.0,138338767.0,138338767.0,2429415565.0,,169598683.0,545648300.0,545648300.0,0.25,0.25,138338767.0,138338767.0,138338767.0,1532812.0,136805955.0,136805955.0,31961886.0,168767841.0,33088303.0,33088303.0,0.0,-830842.0,830842.0,169598683.0,310804178.0,-33088303.0,343892481.0,202788735.0,141103746.0,141103746.0,480402861.0,2118611387.0,2599014248.0,2599014248.0
2020-12-31,0.0,0.1507,305173037.0,218504072.0,48673983.0,2113690916.0,305173037.0,256499054.0,-206401.0,206401.0,218504072.0,218504072.0,2432394095.0,34010000.0,,548847213.0,548847213.0,0.4,0.4,218504072.0,218504072.0,218504072.0,834297.0,217669775.0,217669775.0,38622878.0,256292653.0,23461766.0,23461766.0,,-206401.0,206401.0,256499054.0,318703179.0,-23461766.0,342164945.0,203195118.0,138969827.0,138969827.0,575202233.0,2113690916.0,2688893149.0,2688893149.0
2019-12-31,,,,,,,,,,,,,,39530000.0,,,,,,,,,,,,,,,11061156.0,,,,,,,,,,,,,,
