,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.218602,200069891.0,,,33385002.0,134202667.0,723424868.0,200069891.0,65867224.0,-10096433.0,12606557.0,2510124.0,33385002.0,33385002.0,989317196.0,63357100.0,300000340.0,300000340.0,0.11,0.11,33385002.0,33385002.0,33385002.0,-8232752.0,41617754.0,41617754.0,11642913.0,53260667.0,3849538.0,3849538.0,,-10096433.0,12606557.0,2510124.0,59507562.0,265892328.0,265892328.0,88627248.0,177265080.0,177265080.0,325399890.0,723424868.0,1048824758.0,1048824758.0
2022-12-31,149099.083994,0.141664,300528658.0,1052487.0,1052487.0,100478964.0,152184965.0,770767750.0,301581145.0,149396180.0,-7938297.0,9192043.0,1253746.0,99575576.083994,100478964.0,1052788154.0,148142434.0,300000340.0,300000340.0,0.33,0.33,100478964.0,100478964.0,100478964.0,-19863352.0,120342316.0,120342316.0,19861821.0,140204137.0,5409212.0,4356725.0,1052487.0,-7938297.0,9192043.0,1253746.0,142733222.0,282020404.0,282020404.0,92689269.0,189331135.0,189331135.0,424753626.0,770767750.0,1195521376.0,1195521376.0
2021-12-31,1044293.062602,0.097382,328510472.0,10723679.0,10723679.0,135282220.0,155375755.0,712974981.0,339234151.0,183858396.0,-8702698.0,9369702.0,667004.0,125602834.062602,135282220.0,962911194.0,183191392.0,300000340.0,300000340.0,0.45,0.45,135282220.0,135282220.0,135282220.0,-22214420.0,157496640.0,157496640.0,16992054.0,174488694.0,29787294.0,19063615.0,10723679.0,-8702698.0,9369702.0,667004.0,153404098.0,249936213.0,249936213.0,77006540.0,172929673.0,172929673.0,403340311.0,712974981.0,1116315292.0,1116315292.0
2020-12-31,250292.83636,0.16191,255679159.0,1545879.0,1545879.0,52991341.0,168055924.0,646965244.0,257225038.0,89169114.0,-11899154.0,12209170.0,310016.0,51695754.83636,52991341.0,870113154.0,88859098.0,300000340.0,300000340.0,0.18,0.18,52991341.0,52991341.0,52991341.0,-11508040.0,64499381.0,64499381.0,12460563.0,76959944.0,10245492.0,8699613.0,1545879.0,-11899154.0,12209170.0,310016.0,78613606.0,223147910.0,223147910.0,60552675.0,162595235.0,162595235.0,301761516.0,646965244.0,948726760.0,948726760.0
2019-12-31,,,,640000.0,640000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,640000.0,,,,,,,,,,,,,
