,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Provision For Doubtful Accounts,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,1455218.728,0.2,126669545.77,7276093.64,7276093.64,129017259.1,13435003.94,133945639.41,133945639.41,-2716043.05,4928380.31,2212337.26,123196384.188,129017259.1,20914498.77,172000000.0,172000000.0,0.7501,0.7501,129017259.1,129017259.1,129017259.1,129017259.1,129017259.1,129017259.1,7610705.84,334612.2,7276093.64,-2716043.05,4928380.31,2212337.26,124122596.31,7479494.83,7050402.83,,,429092.0,429092.0,429092.0,131602091.14,13435003.94,145037095.08,145037095.08
2022-12-31,901511.536,0.2,117416691.24,4507557.68,4507557.68,116867766.95,12819281.97,121924248.92,121924248.92,-4372750.08,5056481.97,683731.89,113261720.806,116867766.95,18943635.16,172000000.0,172000000.0,0.679464,0.679464,116867766.95,116867766.95,116867766.95,116867766.95,116867766.95,116867766.95,4786362.39,278804.71,4507557.68,-4372750.08,5056481.97,683731.89,116454154.64,6124353.19,5688042.19,,,436311.0,436311.0,436311.0,122578507.83,12819281.97,135397789.8,135397789.8
2021-12-31,2983810.274,0.2,116184775.63,14919051.37,14919051.37,126859865.69,11696700.07,131103827.0,131103827.0,-3778421.21,4243961.31,465540.1,114924624.594,126859865.69,14838157.02,172000000.0,172000000.0,0.737557,0.737557,126859865.69,126859865.69,126859865.69,126859865.69,126859865.69,126859865.69,15174638.57,255587.2,14919051.37,-3778421.21,4243961.31,465540.1,115463648.33,3141456.95,2659856.95,,,481600.0,481600.0,481600.0,118605105.28,11696700.07,130301805.35,130301805.35
2020-12-31,3312813.146,0.2,114056658.35,16564065.73,16564065.73,125328763.09,13405349.79,130620724.08,130620724.08,-4487084.91,5291960.99,804876.08,112077510.506,125328763.09,16840844.67,172000000.0,172000000.0,0.728656,0.728656,125328763.09,125328763.09,125328763.09,125328763.09,125328763.09,125328763.09,16120311.07,-443754.66,16564065.73,-4487084.91,5291960.99,804876.08,113695536.93,3435494.88,2944394.88,4357.65,0.0,491100.0,491100.0,491100.0,117131031.81,13405349.79,130536381.6,130536381.6
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826.67,1604187.1,,,,,,,
