,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Write Off,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,2385813.24,0.0075,668009233.0,318108432.0,318108432.0,866218098.0,79909436.0,1383194181.0,986117665.0,906208229.0,-30387000.0,33412000.0,3025000.0,550495479.24,866218098.0,1701086300.0,821225000.0,777539000.0,1.0548,1.1141,866218098.0,866218098.0,866218098.0,,866218098.0,866218098.0,6578131.0,872796229.0,839796446.0,3557008.0,318108432.0,289000.0,305860000.0,-11959432.0,0.0,518131006.0,,-30387000.0,33412000.0,3025000.0,63386303.0,317892119.0,317892119.0,49745831.0,268146288.0,268146288.0,381278422.0,1383194181.0,1764472603.0,1764472603.0
2022-12-31,4020690.3524,0.0731,926649526.0,55002604.0,55002604.0,795658720.0,89541412.0,2177262421.0,981652130.0,892110718.0,-32485000.0,33664000.0,1179000.0,744676806.3524,795658720.0,2585358123.0,709653000.0,636571000.0,1.1212,1.2499,795658720.0,795658720.0,795658720.0,0.0,795658720.0,795658720.0,62787998.0,858446718.0,687504133.0,8547089.0,55002604.0,1658000.0,0.0,29959396.0,-83304000.0,623954440.0,,-32485000.0,33664000.0,1179000.0,203427626.0,408095702.0,408095702.0,60979822.0,347115880.0,347115880.0,611523328.0,2177262421.0,2788785749.0,2788785749.0
2021-12-31,7556187.429,0.1442,504656130.0,52400745.0,52400745.0,366954440.0,100255704.0,2412047372.0,557056875.0,456801171.0,-26832000.0,28035000.0,1203000.0,322109882.429,366954440.0,2773278478.0,669812000.0,606644000.0,0.5478,0.6049,366954440.0,366954440.0,366954440.0,0.0,366954440.0,366954440.0,61811731.0,428766171.0,289655839.0,24257320.0,52400745.0,2037000.0,,1714255.0,-52078000.0,212997774.0,,-26832000.0,28035000.0,1203000.0,165942184.0,361231106.0,361231106.0,84905743.0,276325363.0,276325363.0,527173290.0,2412047372.0,2939220662.0,2939220662.0
2020-12-31,2542604.732403,0.078872,261492723.0,32236935.0,32236935.0,162491422.0,101161984.0,1273262717.0,293729658.0,192567674.0,-30632593.0,31433849.0,801256.0,132797091.732403,162491422.0,1594673564.0,599361623.0,599361623.0,0.271081,0.271081,162491422.0,162491422.0,162491422.0,14066610.0,148424812.0,148424812.0,12709013.0,161133825.0,179066325.0,11402373.0,-11747036.0,,,11747036.0,,135427017.0,43983971.0,-30632593.0,31433849.0,801256.0,12700093.0,321410847.0,321410847.0,67092217.0,254318630.0,254318630.0,334110940.0,1273262717.0,1607373657.0,1607373657.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,-59194.0,,,,,7952905.0,,,,,,,,,,,,,
