,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.189894,988182432.0,557859853.0,298919613.0,2820033056.0,988182432.0,689262819.0,29531756.0,636852.0,30168608.0,557859853.0,557859853.0,3556860672.0,659094211.0,786300000.0,786300000.0,0.71,0.71,557859853.0,557859853.0,557859853.0,557859853.0,557859853.0,130766114.0,688625967.0,13985021.0,13985021.0,29531756.0,636852.0,30168608.0,645109190.0,736827616.0,-36855535.0,773683151.0,124345492.0,649337659.0,649337659.0,,1381936806.0,2820033056.0,4201969862.0,4201969862.0
2022-12-31,0.0,0.18919,1000010902.0,567610505.0,299477116.0,2723554285.0,1000010902.0,700533786.0,8240437.0,479872.0,8720309.0,567610505.0,567610505.0,3430492710.0,691813477.0,786300000.0,786300000.0,0.72,0.72,567610505.0,567610505.0,567610505.0,567610505.0,567610505.0,132443409.0,700053914.0,14963825.0,14963825.0,8240437.0,479872.0,8720309.0,676849652.0,706938425.0,-28163616.0,735102041.0,95166158.0,639935883.0,639935883.0,,1383788077.0,2723554285.0,4107342362.0,4107342362.0
2021-12-31,0.0,0.170177,594461922.0,249168996.0,293715096.0,2172221988.0,594461922.0,300746826.0,3733148.0,479285.0,4212433.0,249168996.0,249168996.0,2703314411.0,296534393.0,786300000.0,786300000.0,0.32,0.32,249168996.0,249168996.0,249168996.0,249168996.0,249168996.0,51098545.0,300267541.0,13065549.0,13065549.0,3733148.0,479285.0,4212433.0,283468844.0,531092423.0,-26122130.0,557214553.0,46720961.0,510493592.0,510493592.0,,814561267.0,2172221988.0,2986783255.0,2986783255.0
2020-12-31,0.0,0.122559,443721138.0,202054814.0,212973873.0,1889676812.0,443721138.0,230747265.0,5474958.0,470001.0,5944959.0,202054814.0,202054814.0,2388167220.0,224802306.0,786300000.0,786300000.0,0.26,0.26,202054814.0,202054814.0,202054814.0,202054814.0,202054814.0,28222450.0,230277264.0,11761761.0,11761761.0,5474958.0,470001.0,5944959.0,213040545.0,498490408.0,-19925475.0,518415883.0,53720622.0,464695261.0,464695261.0,,711530953.0,1889676812.0,2601207765.0,2601207765.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
