,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-7704606.309759,0.202492,180302025.0,-38049000.0,-38049000.0,61749676.0,64694771.0,734633480.0,142253025.0,77558254.0,-130000.0,130000.0,92094069.690241,61749676.0,1264246727.0,1100000000.0,1100000000.0,0.06,0.06,61749676.0,61749676.0,61749676.0,61749676.0,61749676.0,15678578.0,77428254.0,11251150.0,49300150.0,-38049000.0,-33414000.0,4635000.0,-130000.0,130000.0,66307377.0,529613247.0,108299248.0,421313999.0,12411188.0,408902811.0,408902811.0,595920624.0,734633480.0,1330554104.0,1330554104.0
2022-12-31,-3623227.992937,0.232586,179669467.0,-15578000.0,-15578000.0,81144866.0,57473380.0,790634499.0,164091467.0,106618087.0,-880000.0,880000.0,93099638.007063,81144866.0,1277240682.0,814794520.0,814794520.0,0.1,0.1,81144866.0,81144866.0,81144866.0,81144866.0,81144866.0,24593221.0,105738087.0,28545299.0,44123299.0,-15578000.0,-12361000.0,3217000.0,-880000.0,880000.0,78072175.0,486606183.0,72382060.0,414224123.0,13901078.0,400323045.0,400323045.0,564678358.0,790634499.0,1355312857.0,1355312857.0
2021-12-31,-2424468.160445,0.199102,194436465.0,-12177000.0,-12177000.0,102939074.0,51707856.0,674681659.0,182259465.0,130551609.0,-2022000.0,2022000.0,112691605.839555,102939074.0,1094691773.0,4000000.0,4000000.0,25.734769,25.734769,102939074.0,102939074.0,102939074.0,102939074.0,102939074.0,25590535.0,128529609.0,19673329.0,31850329.0,-12177000.0,-8555000.0,3622000.0,-2022000.0,2022000.0,110878931.0,420010114.0,74516285.0,345493829.0,7024796.0,338469033.0,338469033.0,530889045.0,674681659.0,1205570704.0,1205570704.0
2020-12-31,-2181207.330659,0.204463,122217852.0,-10668000.0,-10668000.0,47616910.0,49213826.0,536594400.0,111549852.0,62336026.0,-2481000.0,2481000.0,56103702.669341,47616910.0,957882878.0,4000000.0,4000000.0,11.904228,11.904228,47616910.0,47616910.0,47616910.0,47616910.0,47616910.0,12238116.0,59855026.0,14697219.0,25365219.0,-10668000.0,-11780000.0,-1112000.0,-2481000.0,2481000.0,47638857.0,421288478.0,93946360.0,327342118.0,6412213.0,320929905.0,320929905.0,468927335.0,536594400.0,1005521735.0,1005521735.0
