,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-116373111.4,0.2,1266766296.0,-581865557.0,-581865557.0,66392120.0,231729032.0,684900739.0,684900739.0,,,531884565.6,66392120.0,336173445.0,155317443.0,829901500.0,829901500.0,0.08,0.08,66392120.0,66392120.0,66392120.0,66392120.0,66392120.0,66392120.0,-618508619.0,-36643062.0,-581865557.0,,,684900739.0,104444413.0,104444413.0,21334029.0,83110384.0,83110384.0,789345152.0,231729032.0,1021074184.0,1021074184.0
2022-12-31,-77551882.8,0.2,1089961663.0,-387759414.0,-387759414.0,267442347.0,217007568.0,702202249.0,702202249.0,,,577649878.2,267442347.0,308139976.0,139863674.0,786595138.0,786595138.0,0.34,0.34,267442347.0,267442347.0,267442347.0,267442347.0,267442347.0,267442347.0,-434759902.0,-47000488.0,-387759414.0,,,702202249.0,91132408.0,91132408.0,12627886.0,78504522.0,78504522.0,793334657.0,217007568.0,1010342225.0,1010342225.0
2021-12-31,-113427265.8,0.2,1363128081.0,-567136329.0,-567136329.0,191809196.0,199135297.0,795991752.0,795991752.0,,,645518259.2,191809196.0,274341099.0,115369317.0,799204983.0,799204983.0,0.24,0.24,191809196.0,191809196.0,191809196.0,191809196.0,191809196.0,191809196.0,-604182556.0,-37046227.0,-567136329.0,,,795991752.0,75205802.0,75205802.0,14337798.0,60868004.0,60868004.0,871197554.0,199135297.0,1070332851.0,1070332851.0
2020-12-31,-16835403.2,0.2,971667757.0,-84177016.0,-84177016.0,750753663.0,209333497.0,887490741.0,887490741.0,,,818095275.8,750753663.0,296240716.0,126632503.0,798674110.0,798674110.0,0.94,0.94,750753663.0,750753663.0,750753663.0,750753663.0,750753663.0,750753663.0,-136737078.0,-52560062.0,-84177016.0,,,887490741.0,86907219.0,86907219.0,17253361.0,69653858.0,69653858.0,974397960.0,209333497.0,1183731457.0,1183731457.0
2019-12-31,,,,,,,,,,21030941.0,21030941.0,,,,,,,,,,,,,,,,,,21030941.0,21030941.0,,,,,,,,,,
