,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Gain On Sale Of Business,Write Off,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,62987850.761977,0.267525,137703694.0,235446400.0,235446400.0,192597733.0,16729981.0,214222485.0,373150094.0,356420113.0,-92233000.0,93479000.0,1246000.0,20139183.761977,192597733.0,413258782.0,184155000.0,374516195.0,1143329934.0,1143329934.0,0.168465,0.168465,192597733.0,192597733.0,192597733.0,,192597733.0,192597733.0,70343380.0,262941113.0,216104532.0,,,,,-19341868.0,235446400.0,-92233000.0,93479000.0,1246000.0,139069795.0,199036297.0,-28780539.0,227816836.0,91588388.0,136228448.0,136228448.0,338106092.0,214222485.0,552328577.0,552328577.0
2022-12-31,30827259.228381,0.227346,208572876.0,135596064.0,135596064.0,202336442.0,10835857.0,195268439.0,344168940.0,333333083.0,-70186000.0,71461000.0,1275000.0,97567637.228381,202336442.0,324981155.0,184549000.0,332805226.0,1072054471.0,1066397911.0,0.188713,0.18971,202336442.0,202336442.0,202336442.0,,202336442.0,202336442.0,59535641.0,261872083.0,134848499.0,,,,,-747565.0,135596064.0,-70186000.0,71461000.0,1275000.0,197209162.0,129712716.0,-34581730.0,164294446.0,80581718.0,83712728.0,83712728.0,326921878.0,195268439.0,522190317.0,522190317.0
2021-12-31,12090351.274812,0.184333,212686152.0,65589555.0,65589555.0,161439706.0,14286042.0,113934548.0,278275707.0,263989665.0,-64785000.0,66066000.0,1281000.0,107940502.274812,161439706.0,186470886.0,160459000.0,262708254.0,949691007.0,927723434.0,0.170139,0.174006,161439706.0,161439706.0,161439706.0,,161439706.0,161439706.0,36483959.0,197923665.0,65589555.0,0.0,,0.0,,,65589555.0,-64785000.0,66066000.0,1281000.0,197118699.0,72536338.0,-49900643.0,122436981.0,56167740.0,66269241.0,66269241.0,269655037.0,113934548.0,383589585.0,383589585.0
2020-12-31,-3299950.723341,0.035142,230547973.0,-93902510.0,-93902510.0,56437122.0,16322773.0,185712030.0,136645463.0,120322690.0,-59950000.0,61830000.0,1880000.0,147039681.276659,56437122.0,300125718.0,195903000.0,118443134.0,821153394.0,821153394.0,0.068636,0.068636,56437122.0,56437122.0,56437122.0,,56437122.0,56437122.0,2055568.0,58492690.0,-93902510.0,3378777.0,0.0,-3378777.0,-3378777.0,0.0,-97281287.0,-59950000.0,61830000.0,1880000.0,212345644.0,114413688.0,-9290677.0,123704365.0,63704180.0,60000185.0,60000185.0,326759332.0,185712030.0,512471362.0,512471362.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,9346468.0,,,,,,27483311.0,27302088.0,-181223.0,-181223.0,0.0,,,,,,,,,,,,,,,
