,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,3598379.4,0.2,196114387.0,17991897.0,17991897.0,96455091.0,52417834.0,6388175914.0,214106284.0,161688450.0,-41304345.0,41304345.0,82061573.4,96455091.0,6602169588.0,149785364.0,48000000.0,48000000.0,2.01,2.01,96455091.0,96455091.0,96455091.0,96455091.0,96455091.0,23929014.0,120384105.0,17991897.0,,17991897.0,-41304345.0,41304345.0,143696553.0,213993674.0,-1918388.0,215912062.0,107340949.0,108571113.0,108571113.0,,357690227.0,6388175914.0,6745866141.0,6745866141.0
2022-12-31,-14518095.4,0.2,286388219.0,-72590477.0,-72590477.0,98953780.0,63970704.0,7513977385.0,213797742.0,149827038.0,-26068474.0,26068474.0,157026161.6,98953780.0,7739112839.0,151864387.0,48000000.0,48000000.0,2.06,2.06,98953780.0,98953780.0,98953780.0,98953780.0,98953780.0,24804784.0,123758564.0,-72590477.0,2162538.0,-72590477.0,-26068474.0,26068474.0,222417515.0,225135454.0,-2162538.0,227297992.0,122333429.0,104964563.0,104964563.0,,447552969.0,7513977385.0,7961530354.0,7961530354.0
2021-12-31,43348737.2,0.2,143768591.0,216743686.0,216743686.0,219512242.0,71800755.0,6905487452.0,360512277.0,288711522.0,-14317173.0,14317173.0,46117293.2,219512242.0,7133377324.0,254237226.0,48000000.0,48000000.0,4.57,4.57,219512242.0,219512242.0,219512242.0,219512242.0,219512242.0,54882107.0,274394349.0,236795239.0,20051553.0,216743686.0,-14317173.0,14317173.0,51916283.0,227889872.0,-20051553.0,227889872.0,120496605.0,107393267.0,107393267.0,,279806155.0,6905487452.0,7185293607.0,7185293607.0
2020-12-31,-12870326.6,0.2,202943657.0,-64351633.0,-64351633.0,47068099.0,71528545.0,4467344209.0,138592024.0,67063479.0,-8385137.0,8385137.0,98549405.4,47068099.0,4670597632.0,109937376.0,48000000.0,48000000.0,0.98,0.98,47068099.0,47068099.0,47068099.0,47068099.0,47068099.0,11610243.0,58678342.0,-64351633.0,6744661.0,-64351633.0,-8385137.0,8385137.0,131415112.0,203253423.0,-6744661.0,209998084.0,102110082.0,107888002.0,107888002.0,,334668535.0,4467344209.0,4802012744.0,4802012744.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5242495.0,,,,,,,,,,,96286000.0,,,,
