,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Write Off,Gain On Sale Of Security,Selling General And Administration,General And Administrative Expense,Salaries And Wages,Total Revenue,Operating Revenue,Other Non Interest Expense
2024-02-29,31461548.3,0.1979,158977000.0,158977000.0,3258785000.0,1020202000.0,8786410000.0,2161866000.0,10948276000.0,3131269548.3,3258785000.0,250000000.0,250000000.0,13.04,13.04,3258785000.0,3258785000.0,3258785000.0,-79071000.0,3337856000.0,3337856000.0,823525000.0,4161381000.0,-8131000.0,8131000.0,0.0,9409000.0,183112000.0,183112000.0,183112000.0,17954804000.0,17954804000.0,8210557000.0
2023-02-28,61657337.6,0.2012,306448000.0,306448000.0,3815145000.0,1051600000.0,9509241000.0,1903841000.0,11413082000.0,3570354337.6,3815145000.0,250000000.0,250000000.0,15.26,15.26,3815145000.0,3815145000.0,3815145000.0,-139000000.0,3954145000.0,3954145000.0,995818000.0,4949963000.0,-98124000.0,2627000.0,95497000.0,0.0,154560000.0,154560000.0,154560000.0,18731638000.0,18731638000.0,7962449000.0
2022-02-28,67474169.0,0.2186,308665000.0,308665000.0,3553041000.0,1099010000.0,9696085000.0,1744665000.0,11440750000.0,3311850169.0,3553041000.0,250000000.0,250000000.0,14.21,14.21,3553041000.0,3553041000.0,3553041000.0,-20853000.0,3573894000.0,3573894000.0,999880000.0,4573774000.0,308665000.0,11099000.0,-319764000.0,0.0,161119000.0,161119000.0,161119000.0,17303567000.0,17303567000.0,7671368000.0
2021-02-28,50546865.7,0.2081,242897000.0,242897000.0,3689643000.0,1122870000.0,10039378000.0,2096253000.0,12135631000.0,3497292865.7,3689643000.0,250000000.0,250000000.0,14.76,14.76,3689643000.0,3689643000.0,3689643000.0,9609000.0,3680034000.0,3680034000.0,967080000.0,4647114000.0,242897000.0,6802000.0,-249699000.0,-14009000.0,159049000.0,159049000.0,159049000.0,17712273000.0,17712273000.0,8143639000.0
