,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,6840.207718,0.164769,683276455.0,41514.0,41514.0,323843230.0,196948206.0,3373591574.0,683317969.0,486369763.0,-63479350.0,68609060.0,5129710.0,323808556.207718,323843230.0,4162041236.0,438677041.0,1226619000.0,1226619000.0,0.264,0.264,323843230.0,323843230.0,323843230.0,-25083586.0,348926816.0,348926816.0,68833887.0,417760703.0,42604526.0,42563012.0,41514.0,-63479350.0,68609060.0,5129710.0,438635527.0,788449662.0,-24814013.0,813263675.0,151437553.0,661826122.0,661826122.0,1227085189.0,3373591574.0,4600676763.0,4600676763.0
2022-12-31,20108.014066,0.154473,614867836.0,130172.0,130172.0,283787507.0,178870967.0,3678071022.0,614998008.0,436127041.0,-69236100.0,70135338.0,899238.0,283677443.014066,283787507.0,4422695006.0,422560461.0,983542000.0,983542000.0,0.289,0.289,283787507.0,283787507.0,283787507.0,-25668487.0,309455994.0,309455994.0,56535709.0,365991703.0,12797514.0,12667342.0,130172.0,-69236100.0,70135338.0,899238.0,422430289.0,744623984.0,-14729265.0,759353249.0,149730012.0,609623237.0,609623237.0,1167054273.0,3678071022.0,4845125295.0,4845125295.0
2021-12-31,19959.500322,0.160898,503251911.0,124051.0,124051.0,202686294.0,169547351.0,2652444112.0,503375962.0,333828611.0,-61408078.0,61723140.0,315062.0,202582202.500322,202686294.0,3301727384.0,321729282.0,1226619100.0,1226619100.0,0.16524,0.16524,202686294.0,202686294.0,202686294.0,-25638077.0,228324371.0,228324371.0,43781100.0,272105471.0,11908318.0,11784267.0,124051.0,-61408078.0,61723140.0,315062.0,321605231.0,649283272.0,-5600109.0,654883381.0,105218441.0,549664940.0,549664940.0,970888503.0,2652444112.0,3623332615.0,3623332615.0
2020-12-31,2840.445771,0.167984,579539756.0,16909.0,16909.0,253820321.0,168017466.0,2855059958.0,579556665.0,411539199.0,-74451855.0,75058325.0,606470.0,253806252.445771,253820321.0,3663340179.0,383613870.0,1226619100.0,1226619100.0,0.206927,0.206927,253820321.0,253820321.0,253820321.0,-26137064.0,279957385.0,279957385.0,56523489.0,336480874.0,27335768.0,27318859.0,16909.0,-74451855.0,75058325.0,606470.0,383596961.0,808280221.0,8321033.0,799959188.0,134195163.0,665764025.0,665764025.0,1191877182.0,2855059958.0,4046937140.0,4046937140.0
