,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.218571,1286155160.0,130527237.0,852238305.0,5227114889.0,1286155160.0,433916855.0,-266880363.0,266880363.0,130527237.0,130527237.0,5661221024.0,,433916855.0,1186611245.0,1186611245.0,0.11,0.11,130527237.0,130527237.0,130527237.0,,130527237.0,130527237.0,36509255.0,167036492.0,,,-266880363.0,266880363.0,433916855.0,434106135.0,-71543837.0,505649972.0,505649972.0,505649972.0,868022990.0,5227114889.0,6095137879.0,6095137879.0
2022-12-31,0.0,0.025094,1493840564.0,307950040.0,941026914.0,4389756552.0,1493840564.0,552813650.0,-236936847.0,236936847.0,307950040.0,307950040.0,4604925581.0,35709000.0,552813650.0,1140555704.0,1140555704.0,0.27,0.27,307950040.0,307950040.0,307950040.0,3.0,307950037.0,307950037.0,7926766.0,315876803.0,,,-236936847.0,236936847.0,552813650.0,215169029.0,-80317822.0,295486851.0,295486851.0,295486851.0,767982679.0,4389756552.0,5157739231.0,5157739231.0
2021-12-31,0.0,0.2,1603882113.0,350752128.0,1009784841.0,3768549750.0,1603882113.0,594097272.0,-263786647.0,263786647.0,350752128.0,350752128.0,4118245168.0,34809000.0,594097272.0,1131458477.0,1131458477.0,0.31,0.31,350752128.0,350752128.0,350752128.0,18420974.0,332331154.0,332331154.0,-2020529.0,330310625.0,,,-263786647.0,263786647.0,594097272.0,349695418.0,-90681543.0,440376961.0,440376961.0,440376961.0,943792690.0,3768549750.0,4712342440.0,4712342440.0
2020-12-31,0.0,0.2,1649135874.0,240988459.0,1102702794.0,3789209571.0,1649135874.0,546433080.0,-315661254.0,315661254.0,240988459.0,240988459.0,4156679992.0,85996000.0,546433080.0,1142541000.0,1141354000.0,0.21,0.21,240988459.0,240988459.0,240988459.0,1301619.0,239686840.0,239686840.0,-8915014.0,230771826.0,49428534.0,49428534.0,-315661254.0,315661254.0,546433080.0,367470421.0,-68163810.0,435634231.0,435634231.0,435634231.0,913903501.0,3789209571.0,4703113072.0,4703113072.0
2019-12-31,,,,,,,,,,,,,,61599046.0,,,,,,,,,655746.0,,,,,83314514.0,83314514.0,,,,,,,,,,,,
