,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2,117997433.0,-61928102.0,20429208.0,411191463.0,117997433.0,97568225.0,-97823674.0,157534899.0,59711225.0,-61928102.0,-61928102.0,702603726.0,29007615.0,1628318000.0,1628318000.0,-0.038,-0.038,-61928102.0,-61928102.0,-61928102.0,-61928102.0,-61928102.0,1961428.0,-59966674.0,63982153.0,63982153.0,-97823674.0,157534899.0,59711225.0,-26125153.0,291412263.0,291412263.0,194434565.0,96977698.0,67970083.0,29007615.0,265287110.0,411191463.0,676478573.0,676478573.0
2022-12-31,0.0,0.368249,166087535.0,13237359.0,14131014.0,561690495.0,166087535.0,151956521.0,-127318986.0,131003064.0,3684078.0,13237359.0,13237359.0,793629731.0,3037993.0,1628318000.0,1628318000.0,0.008,0.008,13237359.0,13237359.0,13237359.0,13237359.0,13237359.0,7716098.0,20953457.0,75770164.0,75770164.0,-127318986.0,131003064.0,3684078.0,72502279.0,231939236.0,231939236.0,167247688.0,64691548.0,61653555.0,3037993.0,304441515.0,561690495.0,866132010.0,866132010.0
2021-12-31,0.0,0.2175,347932814.0,202088625.0,14054455.0,826151440.0,347932814.0,333878359.0,-70601157.0,75619208.0,5018051.0,202088625.0,202088625.0,1067474610.0,3848991.0,1378502812.0,1378502812.0,0.145455,0.145455,202088625.0,202088625.0,202088625.0,202088625.0,202088625.0,56170526.0,258259151.0,20820729.0,20820729.0,-70601157.0,75619208.0,5018051.0,308039579.0,241323170.0,241323170.0,181601369.0,59721801.0,59721801.0,0.0,549362749.0,826151440.0,1375514189.0,1375514189.0
2020-12-31,0.0,0.2128,162481556.0,101516221.0,6728599.0,510460674.0,162481556.0,155752957.0,-21615345.0,26797341.0,5181996.0,101516221.0,101516221.0,713303167.0,1325573.0,1356979013.0,1356979013.0,0.073012,0.073012,101516221.0,101516221.0,101516221.0,101516221.0,101516221.0,27439395.0,128955616.0,49352917.0,49352917.0,-21615345.0,26797341.0,5181996.0,101218044.0,202842493.0,202842493.0,150027952.0,52814541.0,52814541.0,,304060537.0,510460674.0,814521211.0,814521211.0
