,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.1744,1817920820.0,,,572560692.0,652095914.0,7236050826.0,1817920820.0,1165824906.0,-189016941.0,189016941.0,572560692.0,572560692.0,8650751460.0,1169240529.0,935375000.0,935375000.0,0.61,0.61,572560692.0,572560692.0,572560692.0,-233892260.0,806452952.0,,806452952.0,170355013.0,976807965.0,325029515.0,328445138.0,,,,-3415623.0,,-189016941.0,189016941.0,840795391.0,1414700634.0,1414700634.0,181733486.0,1232967148.0,1232967148.0,2255496025.0,7236050826.0,9491546851.0,9491546851.0
2022-12-31,0.0,0.184149,1892452214.0,,,774899112.0,534278827.0,7141120293.0,1892452214.0,1358173387.0,-101560404.0,101560404.0,774899112.0,774899112.0,8412213586.0,1342221398.0,935375000.0,935375000.0,0.83,0.83,774899112.0,774899112.0,774899112.0,-250310463.0,1025209575.0,,1025209575.0,231403408.0,1256612983.0,339358110.0,323406121.0,,,,15951989.0,,-101560404.0,101560404.0,1018815277.0,1271093293.0,1271093293.0,148180899.0,1122912394.0,1122912394.0,2289908570.0,7141120293.0,9431028863.0,9431028863.0
2021-12-31,0.0,0.176465,1676074156.0,,,722764680.0,512120355.0,6636815396.0,1676074156.0,1163953801.0,-76691808.0,76691808.0,722764680.0,722764680.0,7687885977.0,1124840272.0,935375000.0,935375000.0,0.77,0.77,722764680.0,722764680.0,722764680.0,-172633964.0,895398644.0,,895398644.0,191863349.0,1087261993.0,338836118.0,299722589.0,,,,39113529.0,,-76691808.0,76691808.0,825117683.0,1051070581.0,1051070581.0,95506353.0,955564228.0,955564228.0,1876188264.0,6636815396.0,8513003660.0,8513003660.0
2020-12-31,0.0,0.132611,1353845751.0,,,438835215.0,522387787.0,5260648824.0,1353845751.0,831457964.0,-86839900.0,86839900.0,438835215.0,438835215.0,6238823064.0,843779810.0,935375000.0,935375000.0,0.469154,0.47,438835215.0,438835215.0,438835215.0,-207038454.0,645873669.0,0.0,645873669.0,98744395.0,744618064.0,278727377.0,291049223.0,,,,-12321846.0,,-86839900.0,86839900.0,552730587.0,978174240.0,978174240.0,117090447.0,861083793.0,861083793.0,1530904827.0,5260648824.0,6791553651.0,6791553651.0
2019-12-31,,,,-6033217.0,-6033217.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,444495.0,0.0,-444495.0,,-6477712.0,,,,,,,,,,,,
