,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-131418.91662,0.174,210614094.03,-755281.13,-755281.13,131667023.66,61081703.31,1096491409.36,209858812.9,148777109.59,,,132290885.87338,131667023.66,1468853683.82,,530000000.0,530000000.0,0.25,0.25,131667023.66,131667023.66,131667023.66,131667023.66,131667023.66,27727295.77,159394319.43,10617209.84,11372490.97,1920909.81,1920909.81,-2676190.94,,,148777109.59,372362274.46,,372362274.46,211281039.26,161081235.2,126799672.2,34281563.0,521139384.05,1096491409.36,1617630793.41,1617630793.41
2022-12-31,1152664.325569,0.1843,327605363.0,6254282.83,6254282.83,235688311.16,60061350.84,1512686031.54,333859645.83,273798294.99,-1779276.0,1779276.0,230586692.655569,235688311.16,1902435632.23,290705837.96,530000000.0,530000000.0,0.44,0.44,235688311.16,235688311.16,235688311.16,235688311.16,235688311.16,53238250.8,288926561.96,15128266.97,8873984.14,4396778.01,4396778.01,1857504.82,-1779276.0,1779276.0,273798294.99,389749600.69,-8873984.14,389749600.69,227491802.14,162257798.55,128673798.55,33584000.0,663547895.68,1512686031.54,2176233927.22,2176233927.22
2021-12-31,3494235.452533,0.1757,396526308.5,19887509.69,19887509.69,290531940.83,62380503.3,1349224769.61,416413818.19,354033314.89,-1589596.0,1589596.0,274138666.592533,290531940.83,1713389848.58,354033314.89,530000000.0,530000000.0,0.55,0.55,290531940.83,290531940.83,290531940.83,290531940.83,290531940.83,61911778.06,352443718.89,19887509.69,,2157152.31,2157152.31,17730357.38,-1589596.0,1589596.0,334145805.2,364165078.97,-13864182.97,378029261.94,219699229.1,158330032.84,118824865.84,39505167.0,698310884.17,1349224769.61,2047535653.78,2047535653.78
2020-12-31,536420.849459,0.1537,241520056.23,3490051.07,3490051.07,147319548.26,69531862.23,1140803011.05,245010107.3,175478245.07,-1394811.42,1394811.42,144365918.039459,147319548.26,1498707962.63,,530000000.0,530000000.0,0.28,0.28,147319548.26,147319548.26,147319548.26,147319548.26,147319548.26,26763885.39,174083433.65,3490051.07,,1060633.0,1060633.0,2429418.07,-1394811.42,1394811.42,171988194.0,357904951.58,-11602080.6,369507032.18,212185299.14,157321733.04,118790944.04,38530789.0,529893145.58,1140803011.05,1670696156.63,1670696156.63
2019-12-31,,,,,,,,,,,-1226590.44,1226590.44,,,,,,,,,,,,,,,,,5864052.45,,,,-1226590.44,1226590.44,,,-19695392.21,,,,,,,,,
