,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.139761,288118162.0,0.0,0.0,203507635.0,46928675.0,1252413985.0,288118162.0,241189487.0,-3622692.0,4618373.0,995681.0,203507635.0,203507635.0,1360631401.0,,177647235.0,324050000.0,324050000.0,0.63,0.63,203507635.0,203507635.0,203507635.0,203507635.0,203507635.0,33063479.0,236571114.0,119336887.0,56790316.0,0.0,,,,62546571.0,-3622692.0,4618373.0,995681.0,120856919.0,108217416.0,,108217416.0,37521108.0,70696308.0,70696308.0,229074335.0,1252413985.0,1481488320.0,1481488320.0
2022-12-31,2220535.193024,0.181086,420758347.0,12262299.0,12262299.0,317281211.0,42761226.0,1902801831.0,433020646.0,390259420.0,-2309286.0,2817816.0,508530.0,307239447.193024,317281211.0,1995222907.0,2994000.0,353871369.0,324050000.0,324050000.0,0.98,0.98,317281211.0,317281211.0,317281211.0,317281211.0,317281211.0,70160393.0,387441604.0,147444861.0,99303041.0,12262299.0,-12262299.0,,0.0,35879521.0,-2309286.0,2817816.0,508530.0,242306029.0,92421076.0,-99303041.0,92421076.0,39731819.0,52689257.0,52689257.0,334727105.0,1902801831.0,2237528936.0,2237528936.0
2021-12-31,-1028154.589204,0.129875,408015025.0,-7916521.0,-7916521.0,306813867.0,43044047.0,1695369247.0,400098504.0,357054457.0,-4073534.0,4445685.0,372151.0,313702233.410796,306813867.0,1713417828.0,3091000.0,353109326.0,324050000.0,324050000.0,0.95,0.95,306813867.0,306813867.0,306813867.0,306813867.0,306813867.0,45794905.0,352608772.0,-4343541.0,,-7916521.0,-7671981.0,,15588502.0,3572980.0,-4073534.0,4445685.0,372151.0,361025847.0,18048581.0,-70650968.0,88699549.0,41935482.0,46764067.0,46764067.0,379074428.0,1695369247.0,2074443675.0,2074443675.0
2020-12-31,3827474.138648,0.204281,186393271.0,18736306.0,18736306.0,125098713.0,40951747.0,737783799.0,205129577.0,164177830.0,-6533502.0,6963114.0,429612.0,110189881.138648,125098713.0,775074099.0,9635000.0,167499995.0,324050000.0,324050000.0,0.39,0.39,125098713.0,125098713.0,125098713.0,125098713.0,125098713.0,32116003.0,157214716.0,14984529.0,,18736306.0,-18736306.0,0.0,0.0,-3751777.0,-6533502.0,6963114.0,429612.0,148763689.0,37290300.0,-25423837.0,62714137.0,21318328.0,41395809.0,41395809.0,186053989.0,737783799.0,923837788.0,923837788.0
2019-12-31,,,,,,,,,,,,,,,,,8990000.0,,,,,,,,,,,,,,17820858.0,,,698969.0,698969.0,,,,,,,-17178436.0,,,,,,,,
