,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Business,Write Off,Gain On Sale Of Security,Selling General And Administration,General And Administrative Expense,Insurance And Claims,Salaries And Wages,Total Revenue,Operating Revenue,Occupancy And Equipment,Other Non Interest Expense
2023-12-31,0.0,0.2016,0.0,0.0,32929523000.0,4915792000.0,107442000000.0,31809000000.0,139251000000.0,32929523000.0,32929523000.0,7355761773.0,7355761773.0,4.48,4.48,32929523000.0,32929523000.0,32929523000.0,-202829000.0,33132352000.0,33132352000.0,8364113000.0,41496465000.0,0.0,,0.0,57000000.0,40278958000.0,40278958000.0,8052000000.0,32226958000.0,137903009000.0,137903009000.0,8251038000.0,21357319000.0
2022-12-31,0.0,0.2024,0.0,0.0,30712985000.0,4568757000.0,87866000000.0,17562000000.0,105428000000.0,30712985000.0,30712985000.0,7355761773.0,7355761773.0,4.18,4.18,30712985000.0,30712985000.0,30712985000.0,-176712000.0,30889697000.0,30889697000.0,7838517000.0,38728214000.0,0.0,0.0,0.0,1327000000.0,31300611000.0,31300611000.0,4088000000.0,27212611000.0,112231183000.0,112231183000.0,7397827000.0,16425059000.0
2021-12-31,2100346600.0,0.1958,10727000000.0,10727000000.0,33794188000.0,4761064000.0,82257000000.0,17547000000.0,99804000000.0,25167534600.0,33794188000.0,7355761773.0,7355761773.0,4.59,4.59,33794188000.0,33794188000.0,33794188000.0,-260302000.0,34054490000.0,34054490000.0,8293292000.0,42347782000.0,10727000000.0,10727000000.0,0.0,591000000.0,31059005000.0,31059005000.0,4277000000.0,26782005000.0,107933132000.0,107933132000.0,7194404000.0,14977864000.0
2020-12-31,0.0,0.1917,0.0,0.0,23039785000.0,5048950000.0,85315000000.0,22747000000.0,108062000000.0,23039785000.0,23039785000.0,7355761773.0,7355761773.0,3.13,3.13,23039785000.0,23039785000.0,23039785000.0,-300466000.0,23340251000.0,23340251000.0,5537981000.0,28878232000.0,0.0,0.0,0.0,165000000.0,29372341000.0,29372341000.0,4011000000.0,25361341000.0,109717262000.0,109717262000.0,7549879000.0,15553784000.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,8625000000.0,,,,,,,,,,
