,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.21,89102119.92,17529191.66,51311312.42,1093669317.57,89102119.92,37790807.5,-12072351.32,12072351.32,17529191.66,17529191.66,1201971824.46,37790807.5,300000000.0,300000000.0,0.058,0.058,17529191.66,17529191.66,17529191.66,0.0,17529191.66,17529191.66,8189264.52,25718456.18,,,-12072351.32,12072351.32,37790807.5,108302506.89,-3181794.9,111484301.79,52340251.13,59144050.66,59144050.66,146093314.39,1093669317.57,1239762631.96,1239762631.96
2022-12-31,0.0,0.23,83372271.05,6841888.24,57366667.49,1181204486.9,83372271.05,26005603.56,-11097205.48,11097205.48,6841888.24,6841888.24,1291719420.05,26005603.56,300000000.0,300000000.0,0.023,0.023,6841888.24,6841888.24,6841888.24,0.0,6841888.24,6841888.24,8066509.84,14908398.08,,,-11097205.48,11097205.48,26005603.56,110514933.15,-6005637.2,116520570.35,53665940.41,62854629.94,62854629.94,136520536.71,1181204486.9,1317725023.61,1317725023.61
2021-12-31,0.0,0.1846,144343425.35,63791668.92,57082956.04,1071714092.15,144343425.35,87260469.31,-11884080.77,11884080.77,63791668.92,63791668.92,1187709293.63,-87260469.31,300000000.0,300000000.0,0.213,0.213,63791668.92,63791668.92,63791668.92,0.0,63791668.92,63791668.92,11584719.62,75376388.54,,,-11884080.77,11884080.77,87260469.31,115995201.48,-2005038.32,118000239.8,47791290.69,70208949.11,70208949.11,203255670.79,1071714092.15,1274969762.94,1274969762.94
2020-12-31,0.0,0.2003,163441975.57,76999571.44,61153949.11,1000806728.21,163441975.57,102288026.46,-14972188.25,14972188.25,76999571.44,76999571.44,1103464289.5,102288026.46,300000000.0,300000000.0,0.257,0.257,76999571.44,76999571.44,76999571.44,0.0,76999571.44,76999571.44,10316266.77,87315838.21,,,-14972188.25,14972188.25,102288026.46,102657561.29,-5153863.15,107811424.44,44516417.11,63295007.33,63295007.33,204945587.75,1000806728.21,1205752315.96,1205752315.96
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,6658864.43,6658864.43,,,,,,,,,,,,,
