,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-2677888.387871,0.232826,484515307.0,-11501651.0,-11501651.0,177392498.0,240992657.0,3075023491.0,473013656.0,232020999.0,14869792.0,792362.0,15662154.0,186216260.612129,177392498.0,3371148150.0,231996999.0,52800000.0,52000742.0,3.36,3.41,177392498.0,177392498.0,177392498.0,177392498.0,177392498.0,53836139.0,231228637.0,13903349.0,25405000.0,,,,-11501651.0,14869792.0,792362.0,15662154.0,202455020.0,296124659.0,-5405000.0,301529659.0,85825002.0,215704657.0,215704657.0,498579679.0,3075023491.0,3573603170.0,3573603170.0
2022-12-31,7995387.727664,0.174743,485951012.0,45755000.0,45755000.0,246000804.0,233170965.0,3189192065.0,531706012.0,298535047.0,4361035.0,444942.0,4805977.0,208241191.727664,246000804.0,3487197058.0,298514047.0,52800000.0,52000742.0,4.66,4.73,246000804.0,246000804.0,246000804.0,246000804.0,246000804.0,52089301.0,298090105.0,89655000.0,43900000.0,,,,45755000.0,4361035.0,444942.0,4805977.0,204074330.0,298004993.0,-7128000.0,305132993.0,77117803.0,228015190.0,228015190.0,502079323.0,3189192065.0,3691271388.0,3691271388.0
2021-12-31,1173580.980791,0.16908,438726498.0,6941000.0,6941000.0,193698226.0,212137906.0,2524658465.0,445667498.0,233529592.0,6021496.0,416759.0,6438255.0,187930806.980791,193698226.0,2815049498.0,233538592.0,52800000.0,52000742.0,3.67,3.72,193698226.0,193698226.0,193698226.0,193698226.0,193698226.0,39414607.0,233112833.0,47955000.0,41014000.0,,,,6941000.0,6021496.0,416759.0,6438255.0,179136601.0,290391033.0,-6737000.0,297128033.0,70843448.0,226284585.0,226284585.0,469527634.0,2524658465.0,2994186099.0,2994186099.0
2020-12-31,143556.526538,0.181258,507821230.0,792000.0,792000.0,258434510.0,192658536.0,2302070759.0,508613230.0,315954694.0,9339699.0,306314.0,9646013.0,257786066.526538,258434510.0,2509195161.0,315954694.0,52800000.0,52001000.0,4.89,4.97,258434510.0,258434510.0,258434510.0,258434510.0,258434510.0,57213870.0,315648380.0,45349000.0,44557000.0,6235000.0,-6235000.0,,792000.0,9339699.0,306314.0,9646013.0,260959554.0,207124402.0,-75380000.0,282504402.0,63929509.0,218574893.0,218574893.0,468083956.0,2302070759.0,2770154715.0,2770154715.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42322000.0,-42322000.0,0.0,,,,,,,,,,,,,,,
