,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2,49546763.0,32141734.0,15962504.0,129285496.0,49546763.0,33584259.0,-1640449.0,1640449.0,32141734.0,32141734.0,211805401.0,32838010.0,600000000.0,600000000.0,0.05357,0.05357,32141734.0,32141734.0,32141734.0,32141734.0,32141734.0,-197924.0,31943810.0,-1640449.0,1640449.0,33584259.0,82519905.0,-1954536.0,-746249.0,85220690.0,28249839.0,56970851.0,56970851.0,116104164.0,129285496.0,245389660.0,245389660.0
2022-12-31,0.0,0.045067,94269360.0,75113123.0,14536859.0,147257861.0,94269360.0,79732501.0,-1074521.0,1074521.0,75113123.0,75113123.0,225041996.0,78836846.0,600000000.0,440000000.0,0.125189,0.170712,75113123.0,75113123.0,75113123.0,75113123.0,75113123.0,3544857.0,78657980.0,-1074521.0,1074521.0,79732501.0,77784135.0,-15292651.0,-895655.0,93972441.0,30116829.0,63855612.0,63855612.0,157516636.0,147257861.0,304774497.0,304774497.0
2021-12-31,0.0,0.002517,115127480.0,105662258.0,8483695.0,211209745.0,115127480.0,106643785.0,-714933.0,714933.0,105662258.0,105662258.0,272664341.0,109585471.0,600000000.0,440000000.0,0.176104,0.240141,105662258.0,105662258.0,105662258.0,105662258.0,105662258.0,266594.0,105928852.0,-714933.0,714933.0,106643785.0,61454596.0,-737667.0,2941686.0,59250577.0,27296861.0,31953716.0,31953716.0,168098381.0,211209745.0,379308126.0,379308126.0
2020-12-31,0.0,0.2,21744013.0,13801807.0,7587459.0,93909560.0,21744013.0,14156554.0,-865110.0,865110.0,13801807.0,13801807.0,119641518.0,15163717.0,600000000.0,440000000.0,0.023003,0.031368,13801807.0,13801807.0,13801807.0,13801807.0,13801807.0,-510363.0,13291444.0,-865110.0,865110.0,14156554.0,25731958.0,-353068.0,1007163.0,25077863.0,7257021.0,17820842.0,17820842.0,39888512.0,93909560.0,133798072.0,133798072.0
