,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Other Special Charges,Write Off,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded
2023-12-31,-75645.006532,0.053384,-1417000.0,-1417000.0,-159484178.0,9233000.0,-158142823.006532,-159484178.0,720516379.0,1903152482.0,1903152482.0,-0.0838,-0.0838,-159484178.0,-159484178.0,-159484178.0,-159484178.0,-159484178.0,-8994026.0,-168478204.0,2689955.0,-1417000.0,,1417000.0,46770000.0,76239000.0,616000.0,75623000.0,3395000.0,72228000.0,552038424.0,552038424.0,237463220.0,237463220.0,518005272.0,280542052.0
2022-12-31,-499600.0,0.2,-2498000.0,-2498000.0,-27163281.0,6654000.0,-25164881.0,-27163281.0,574512857.0,1899530140.0,1899530140.0,-0.0143,-0.0143,-27163281.0,-27163281.0,-27163281.0,-27163281.0,-27163281.0,45807710.0,18644429.0,19289812.0,-2498000.0,,2498000.0,47273000.0,74532000.0,2024000.0,72508000.0,3274000.0,69234000.0,593156251.0,593156251.0,196772453.0,196772453.0,494632018.0,297859565.0
2021-12-31,-3600.0,0.2,-18000.0,-18000.0,-59838615.0,6486000.0,-59824215.0,-59838615.0,521458906.0,1905688376.0,1905688376.0,-0.0314,-0.0314,-59838615.0,-59838615.0,-59838615.0,-59838615.0,-59838615.0,8966802.0,-50871813.0,12377082.0,-18000.0,,18000.0,49090000.0,74226000.0,513000.0,73713000.0,3361000.0,70352000.0,470586015.0,470586015.0,157690291.0,157690291.0,322434583.0,164744292.0
2020-12-31,0.0,0.2,0.0,0.0,-102497479.0,5696000.0,-102497479.0,-102497479.0,659603159.0,2049949580.0,2049949580.0,-0.05,-0.05,-102497479.0,-102497479.0,-102497479.0,-102497479.0,-102497479.0,27878777.0,-74618702.0,68789379.0,0.0,,,78502000.0,79826000.0,,79826000.0,,79826000.0,584984481.0,584984481.0,204147977.0,204147977.0,353704378.0,149556401.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,-41087874.0,,,,,,,,,,,,,
