,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Write Off,Gain On Sale Of Security,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Insurance And Claims,Salaries And Wages,Total Revenue,Operating Revenue,Occupancy And Equipment,Other Non Interest Expense
2023-12-31,-833112.0,0.168,-4959000.0,-4959000.0,2096294000.0,482181000.0,8013510000.0,3654667000.0,11668177000.0,2100419888.0,2096294000.0,21183661000.0,21183661000.0,0.099,0.099,2096294000.0,2096294000.0,2096294000.0,-26000.0,2096320000.0,2096320000.0,423278000.0,2519598000.0,-4959000.0,4959000.0,-579281000.0,126026000.0,126026000.0,126026000.0,126026000.0,3529007000.0,195240000.0,3333767000.0,1070202000.0,2263565000.0,9178185000.0,9178185000.0,782096000.0,680521000.0
2022-12-31,-644291.2,0.1372,-4696000.0,-4696000.0,1578755000.0,460839000.0,6681007000.0,2042937000.0,8723944000.0,1582806708.8,1578755000.0,21183661000.0,21183661000.0,0.075,0.075,1578755000.0,1578755000.0,1578755000.0,-52000.0,1578807000.0,1578807000.0,251110000.0,1829917000.0,-4696000.0,4696000.0,-35731000.0,118951000.0,118951000.0,118951000.0,118951000.0,2761147000.0,174249000.0,2586898000.0,486190000.0,2100708000.0,8560076000.0,8560076000.0,696842000.0,498852000.0
2021-12-31,-733298.4,0.1224,-5991000.0,-5991000.0,1383721000.0,483187000.0,5900498000.0,1869186000.0,7769684000.0,1388978701.6,1383721000.0,21055130000.0,21055130000.0,0.066,0.066,1383721000.0,1383721000.0,1383721000.0,0.0,1383721000.0,1383721000.0,192931000.0,1576652000.0,-5991000.0,5991000.0,151798000.0,123842000.0,123842000.0,123842000.0,123842000.0,2430064000.0,129645000.0,2300419000.0,461404000.0,1839015000.0,8536675000.0,8536675000.0,674449000.0,456287000.0
2020-12-31,-1591204.0,0.1592,-9995000.0,-9995000.0,2056829000.0,509902000.0,5173648000.0,2681743000.0,7855391000.0,2065232796.0,2056829000.0,20957917000.0,20957917000.0,0.098,0.098,2056829000.0,2056829000.0,2056829000.0,-65000.0,2056894000.0,2056894000.0,389502000.0,2446396000.0,-9995000.0,9995000.0,637945000.0,126455000.0,126455000.0,126455000.0,126455000.0,2186120000.0,76413000.0,2109707000.0,447916000.0,1661791000.0,7999256000.0,7999256000.0,726004000.0,406478000.0
