,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,7231005.935148,0.146372,268558720.0,49401558.0,49401558.0,175046173.0,103733786.0,729283723.0,317960278.0,214226492.0,-7012180.0,9165063.0,2152883.0,132875620.935148,175046173.0,810279248.0,450000000.0,450000000.0,0.39,0.39,175046173.0,175046173.0,175046173.0,175046173.0,175046173.0,30015256.0,205061429.0,61019020.0,11617462.0,49776080.0,49776080.0,-374522.0,-7012180.0,9165063.0,2152883.0,151054589.0,80995525.0,-674970.0,3546479.0,78124016.0,15373190.0,62750826.0,62750826.0,232050114.0,729283723.0,961333837.0,961333837.0
2022-12-31,3913257.107865,0.161168,287625437.0,24280577.0,24280577.0,161681870.0,95185056.0,813014324.0,311906014.0,216720958.0,-23843040.0,23974484.0,131444.0,141314550.107865,161681870.0,890250954.0,345780822.0,345780822.0,0.47,0.47,161681870.0,161681870.0,161681870.0,161681870.0,161681870.0,31064604.0,192746474.0,24581975.0,301398.0,23622562.0,23622562.0,658015.0,-23843040.0,23974484.0,131444.0,192007539.0,77236630.0,-993718.0,118132.0,78112216.0,13827815.0,64284401.0,64284401.0,269244169.0,813014324.0,1082258493.0,1082258493.0
2021-12-31,-105413.736183,0.143518,239119532.0,-734499.0,-734499.0,120932250.0,83077701.0,563819794.0,238385033.0,155307332.0,-14108049.0,14110865.0,2816.0,121561335.263817,120932250.0,630399715.0,450000000.0,450000000.0,0.268738,0.268738,120932250.0,120932250.0,120932250.0,120932250.0,120932250.0,20264217.0,141196467.0,-375073.0,359426.0,-370872.0,-370872.0,-363627.0,-14108049.0,14110865.0,2816.0,155679589.0,66579921.0,-635530.0,-2219075.0,69434526.0,12889767.0,56544759.0,56544759.0,222259510.0,563819794.0,786079304.0,786079304.0
2020-12-31,-765555.119635,0.150092,124358315.0,-5100581.0,-5100581.0,21794182.0,82241452.0,422314131.0,119257734.0,37016282.0,-11363559.0,11373300.0,9741.0,26129207.880365,21794182.0,480477796.0,450000000.0,450000000.0,0.048432,0.048432,21794182.0,21794182.0,21794182.0,21794182.0,21794182.0,3848800.0,25642982.0,-5205377.0,-104796.0,-2615069.0,-2615069.0,-2485512.0,-11363559.0,11373300.0,9741.0,42211918.0,58163665.0,-473832.0,-2911833.0,61549330.0,12013758.0,49535572.0,49535572.0,100375583.0,422314131.0,522689714.0,522689714.0
