,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Salaries And Wages,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded
2023-12-31,0.0,0.129896,62113042.0,71499143.0,-113366.0,113366.0,74926483.0,62113042.0,62113042.0,3308591532.0,619998218.0,619998218.0,0.098387,0.098387,62113042.0,62113042.0,62113042.0,62113042.0,62113042.0,9272735.0,71385777.0,837360.0,-113366.0,113366.0,52653499.0,64119963.0,64119963.0,64119963.0,3379977309.0,3379977309.0,2380160481.0,2380160481.0,2391373611.0,11213130.0
2022-12-31,0.0,0.156675,153104600.0,181574716.0,-25990.0,25990.0,69516722.0,153104600.0,153104600.0,2803209675.0,619998218.0,619998218.0,0.245968,0.245968,153104600.0,153104600.0,153104600.0,153104600.0,153104600.0,28444126.0,181548726.0,1353906.0,-25990.0,25990.0,48018510.0,60249887.0,60249887.0,60249887.0,2984758401.0,2984758401.0,2006916204.0,2006916204.0,2013724476.0,6808272.0
2021-12-31,0.0,0.128441,98495559.0,113082762.0,-71963.0,71963.0,,98495559.0,98495559.0,2682105078.0,636117152.0,636117152.0,0.154839,0.154839,98495559.0,98495559.0,98495559.0,98495559.0,98495559.0,14515240.0,113010799.0,1088600.0,-71963.0,71963.0,45725348.0,47174764.0,47174764.0,47174764.0,2795115877.0,2795115877.0,1906899674.0,1906899674.0,1924356798.0,17457124.0
2020-12-31,0.0,0.148353,121434658.0,142703221.0,-115177.0,115177.0,,121434658.0,121434658.0,2188623937.0,627412400.0,627412400.0,0.193548,0.193548,121434658.0,121434658.0,121434658.0,121434658.0,121434658.0,21153386.0,142588044.0,5536238.0,-115177.0,115177.0,45054320.0,48410581.0,48410581.0,48410581.0,2331211981.0,2331211981.0,1487916710.0,1487916710.0,1491812943.0,3896233.0
