,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,509585.25,0.15,600461209.0,3397235.0,3397235.0,399065024.0,131600993.0,433101188.0,603858444.0,472257451.0,-1347769.0,1347769.0,396177374.25,399065024.0,647596172.0,367520840.0,2043406000.0,2043406000.0,0.2,0.2,399065024.0,399065024.0,399065024.0,60.0,399064964.0,399064964.0,71844718.0,470909682.0,144723426.0,36589580.0,104736611.0,3397235.0,-1347769.0,1347769.0,327534025.0,214494984.0,-24643514.0,239138498.0,17567407.0,221571091.0,221571091.0,542029009.0,433101188.0,975130197.0,975130197.0
2022-12-31,781158.33,0.27,461485548.0,2893179.0,2893179.0,216898283.0,167701173.0,402104540.0,464378727.0,296677554.0,-1620385.0,1620385.0,214786262.33,216898283.0,575809099.0,405485310.0,1995113000.0,1995113000.0,0.11,0.11,216898283.0,216898283.0,216898283.0,43.0,216898240.0,216898240.0,78158929.0,295057169.0,-58180119.0,47734458.0,-108807756.0,2893179.0,-1620385.0,1620385.0,354857673.0,173704559.0,-24643514.0,198348073.0,14067756.0,184280317.0,184280317.0,528562232.0,402104540.0,930666772.0,930666772.0
2021-12-31,47695.44,0.06,631759772.0,794924.0,794924.0,439412892.0,162810956.0,365622513.0,632554696.0,469743740.0,-1672175.0,1672175.0,438665663.44,439412892.0,534986777.0,355517697.0,1980248000.0,1980248000.0,0.22,0.22,439412892.0,439412892.0,439412892.0,1.0,439412891.0,439412891.0,28658674.0,468071565.0,115020967.0,32324597.0,114226043.0,794924.0,-1672175.0,1672175.0,354722773.0,169364264.0,-56968111.0,226332375.0,12972676.0,213359699.0,213359699.0,524087037.0,365622513.0,889709550.0,889709550.0
2020-12-31,59469.9,0.05,524859108.0,1189398.0,1189398.0,352405064.0,155137238.0,544989179.0,526048506.0,370911268.0,-1784942.0,1784942.0,351275135.9,352405064.0,703626098.0,277950881.0,1980021000.0,1980021000.0,0.18,0.18,352405064.0,352405064.0,352405064.0,0.0,352405064.0,352405064.0,16721262.0,369126326.0,94149785.0,35329759.0,92960387.0,1189398.0,-1784942.0,1784942.0,276761483.0,158636919.0,-59973273.0,218610192.0,25185904.0,193424288.0,193424288.0,435398402.0,544989179.0,980387581.0,980387581.0
