,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.219874,2084594446.0,505092395.0,1427811599.0,3911618070.0,2084594446.0,656782847.0,11158692.0,7440923.0,18599615.0,505092395.0,505092395.0,5791630175.0,640576884.0,2381250000.0,2381250000.0,0.21,0.21,505092395.0,505092395.0,505092395.0,-1476357.0,506568752.0,506568752.0,142773172.0,649341924.0,-2393652.0,-2393652.0,11158692.0,7440923.0,18599615.0,640576884.0,1880012105.0,-82687763.0,1962699868.0,400973599.0,1561726269.0,1561726269.0,2520588989.0,3911618070.0,6432207059.0,6432207059.0
2022-12-31,0.0,0.138718,2283301178.0,738530893.0,1412159459.0,3554241007.0,2283301178.0,871141719.0,-4748796.0,13961111.0,9212315.0,738530893.0,738530893.0,5268358246.0,860002251.0,2381250000.0,2381250000.0,0.31,0.31,738530893.0,738530893.0,738530893.0,256503.0,738274390.0,738274390.0,118906218.0,857180608.0,1927153.0,1927153.0,-4748796.0,13961111.0,9212315.0,860002251.0,1714117239.0,-98393722.0,1812510961.0,305462526.0,1507048435.0,1507048435.0,2574119490.0,3554241007.0,6128360497.0,6128360497.0
2021-12-31,0.0,0.141913,2163714869.0,828376458.0,1069622280.0,2637135184.0,2163714869.0,1094092589.0,-126356753.0,128661000.0,2304247.0,828376458.0,828376458.0,4255100467.0,1091688235.0,1981983000.0,1981983000.0,0.42,0.42,828376458.0,828376458.0,828376458.0,-47543.0,828424001.0,828424001.0,137007588.0,965431589.0,99695.0,99695.0,-126356753.0,128661000.0,2304247.0,1091688235.0,1617965283.0,-89028155.0,1706993438.0,209299509.0,1497693929.0,1497693929.0,2709653518.0,2637135184.0,5346788702.0,5346788702.0
2020-12-31,0.0,0.056549,1568536412.0,631225160.0,812372112.0,1539877400.0,1568536412.0,756164300.0,-86051023.0,87069525.0,1018502.0,631225160.0,631225160.0,2376309017.0,750466062.0,38100000.0,38100000.0,16.56759,16.56759,631225160.0,631225160.0,631225160.0,-32889.0,631258049.0,631258049.0,37836726.0,669094775.0,4679736.0,4679736.0,-86051023.0,87069525.0,1018502.0,750466062.0,836431617.0,-88323885.0,924755502.0,121770631.0,802984871.0,802984871.0,1586897679.0,1539877400.0,3126775079.0,3126775079.0
