,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2165,1795829738.0,,,311119939.0,1085732515.0,2978086106.0,1795829738.0,710097223.0,-276261520.0,298958199.0,22696679.0,311119939.0,311119939.0,3642625546.0,45481274.0,1663725149.0,1663725149.0,0.19,0.19,311119939.0,311119939.0,311119939.0,-10994610.0,322114549.0,322114549.0,89024475.0,411139024.0,43185307.0,43185307.0,,,-276261520.0,298958199.0,22696679.0,644215237.0,664539440.0,664539440.0,15084793.0,649454647.0,649454647.0,1308754677.0,2978086106.0,4286840783.0,4286840783.0
2022-12-31,0.0,0.2016,2212369313.0,13248106.0,13248106.0,704605134.0,1077481121.0,2670083320.0,2212369313.0,1134888192.0,-233815953.0,242083108.0,8267155.0,704605134.0,704605134.0,3231747924.0,67978717.0,1663725149.0,1663725149.0,0.42,0.42,704605134.0,704605134.0,704605134.0,-8207364.0,712812498.0,712812498.0,179992586.0,892805084.0,95464240.0,95464240.0,13248106.0,-13248106.0,-233815953.0,242083108.0,8267155.0,1031156797.0,561664604.0,561664604.0,14118375.0,547546229.0,547546229.0,1592821401.0,2670083320.0,4262904721.0,4262904721.0
2021-12-31,1700040.3844,0.1894,2482994552.0,8975926.0,8975926.0,1061601335.0,982956204.0,2694568420.0,2491970478.0,1509014274.0,-159089834.0,172945907.0,13856073.0,1054325449.3844,1061601335.0,3217714109.0,104661076.0,1663725149.0,1663725149.0,0.64,0.64,1061601335.0,1061601335.0,1061601335.0,-11441234.0,1073042569.0,1073042569.0,263025798.0,1336068367.0,82372289.0,73396363.0,8975926.0,-8975926.0,-159089834.0,172945907.0,13856073.0,1412785912.0,523145689.0,523145689.0,14452499.0,508693190.0,508693190.0,1935931601.0,2694568420.0,4630500021.0,4630500021.0
2020-12-31,3075693.984,0.2112,2040249118.0,14562945.0,14562945.0,764154129.0,899977508.0,2551076073.0,2054812063.0,1154834555.0,-161408602.0,170526944.0,9118342.0,752666877.984,764154129.0,3093466677.0,105930161.0,1663725149.0,1663725149.0,0.46,0.46,764154129.0,764154129.0,764154129.0,-12276985.0,776431114.0,776431114.0,207876497.0,984307611.0,34881433.0,20318488.0,14562945.0,-14562945.0,-161408602.0,170526944.0,9118342.0,1110834780.0,542390604.0,542390604.0,16017650.0,526372954.0,526372954.0,1653225384.0,2551076073.0,4204301457.0,4204301457.0
2019-12-31,,,,18019588.0,18019588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18019588.0,-18019588.0,,,,,,,,,,,,,
