,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2022-12-31,0.0,0.204814,292321963.0,145570915.0,66702766.0,1198465510.0,292321963.0,225619197.0,-12827082.0,12930644.0,103562.0,145570915.0,145570915.0,1511316452.0,9247000.0,225619197.0,602997000.0,602997000.0,0.24,0.24,145570915.0,145570915.0,145570915.0,-23556045.0,169126960.0,169126960.0,43561593.0,212688553.0,,,-12827082.0,12930644.0,103562.0,225515635.0,312850942.0,-5907240.0,318758182.0,318758182.0,318758182.0,538366577.0,1198465510.0,1736832087.0,1736832087.0
2021-12-31,0.0,0.203195,288881066.0,144432984.0,66933392.0,1225704002.0,288881066.0,221947674.0,-11025337.0,11152085.0,126748.0,144432984.0,144432984.0,1510983391.0,6890000.0,221947674.0,602997000.0,602997000.0,0.24,0.24,144432984.0,144432984.0,144432984.0,-23529939.0,167962923.0,167962923.0,42832666.0,210795589.0,,,-11025337.0,11152085.0,126748.0,221820926.0,285279389.0,-8952559.0,294231948.0,294231948.0,294231948.0,507100315.0,1225704002.0,1732804317.0,1732804317.0
2020-12-31,0.0,0.20592,281227621.0,149220266.0,47754876.0,1071719378.0,281227621.0,233472745.0,-7279570.0,8355230.0,1075660.0,149220266.0,149220266.0,1337855869.0,5485000.0,233472745.0,603000000.0,603000000.0,0.248889,0.248889,149220266.0,149220266.0,149220266.0,-29541074.0,178761340.0,178761340.0,46356175.0,225117515.0,4835675.0,4835675.0,-7279570.0,8355230.0,1075660.0,232397085.0,266136491.0,-4835675.0,270972166.0,270972166.0,270972166.0,498533576.0,1071719378.0,1570252954.0,1570252954.0
2019-12-31,0.0,0.20045,112812725.0,85502184.0,5388974.0,471961853.0,112812725.0,107423751.0,4705634.0,485883.0,5191517.0,85502184.0,85502184.0,610113581.0,548515168000.0,107423751.0,603000000.0,603000000.0,0.142222,0.142222,85502184.0,85502184.0,85502184.0,0.0,85502184.0,85502184.0,21435684.0,106937868.0,9743776.0,9743776.0,4705634.0,485883.0,5191517.0,102232234.0,138151728.0,-9743776.0,147895504.0,147895504.0,147895504.0,240383962.0,471961853.0,712345815.0,712345815.0
