,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,96931657.28,0.16,2456504194.0,605822858.0,605822858.0,1551237996.0,1036198309.0,7460591009.0,3062327052.0,2026128743.0,-327796248.0,332295152.0,4498904.0,1042346795.28,1551237996.0,9019829830.0,1313905395.0,1200000000.0,1200000000.0,1.29,1.29,1551237996.0,1551237996.0,1551237996.0,128433717.0,1422804279.0,1422804279.0,271029312.0,1693833591.0,1407329390.0,93782088.0,,,,707724444.0,605822858.0,-327796248.0,332295152.0,4498904.0,614300449.0,1559238821.0,,1559238821.0,,1559238821.0,1559238821.0,2173539270.0,7460591009.0,9634130279.0,9634130279.0
2022-12-31,44434829.0722,0.1033,3469744446.0,430153234.0,430153234.0,2173716247.0,992943426.0,7810367739.0,3899897680.0,2906954254.0,-234220866.0,243376608.0,9155742.0,1787997842.0722,2173716247.0,9323083901.0,1896192348.0,1200000000.0,1200000000.0,1.81,1.81,2173716247.0,2173716247.0,2173716247.0,-214825991.0,2388542238.0,2388542238.0,275035408.0,2663577646.0,1534354775.0,102595377.0,0.0,,0.0,1001606164.0,430153234.0,-234220866.0,243376608.0,9155742.0,1363443737.0,1512716162.0,,1512716162.0,,1512716162.0,1512716162.0,2876159899.0,7810367739.0,10686527638.0,10686527638.0
2021-12-31,39744162.5463,0.0939,6529714443.0,423260517.0,423260517.0,4171043124.0,816356739.0,7940981610.0,6952974960.0,6136618221.0,-223924312.0,239311231.0,15386919.0,3787526769.5463,4171043124.0,9304888821.0,3861841141.0,1200000000.0,1200000000.0,3.48,3.48,4171043124.0,4171043124.0,4171043124.0,-1219936817.0,5390979941.0,5390979941.0,506327049.0,5897306990.0,2762160177.0,79509499.0,0.0,,0.0,2259390161.0,423260517.0,-223924312.0,239311231.0,15386919.0,3359071125.0,1363907211.0,,1363907211.0,,1363907211.0,1363907211.0,4722978336.0,7940981610.0,12663959946.0,12663959946.0
2020-12-31,46614345.7647,0.0427,1315922356.0,1091670861.0,1091670861.0,1271082313.0,1259610797.0,6785130920.0,2407593217.0,1147982420.0,-180713380.0,210999976.0,30286596.0,226025797.7647,1271082313.0,8026714925.0,998030800.0,1200000000.0,1200000000.0,1.06,1.06,1271082313.0,1271082313.0,1271082313.0,373535044.0,897547269.0,897547269.0,39435175.0,936982444.0,1318763321.0,107427436.0,0.0,,0.0,119665024.0,1091670861.0,-180713380.0,210999976.0,30286596.0,-201067497.0,1241584005.0,-110913454.0,1241584005.0,,1241584005.0,1241584005.0,1040516508.0,6785130920.0,7825647428.0,7825647428.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-248042872.0,0.0,248042872.0,,,,,,,,-104670959.0,,11758934.0,,,,,,
