,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.276139,205384478.0,50788295.0,98254346.0,1121794309.0,205384478.0,107130132.0,-25758638.0,25758638.0,50788295.0,50788295.0,1671829542.0,109404615.0,605345851.0,605345851.0,0.083692,0.083692,50788295.0,50788295.0,50788295.0,-8113392.0,58901687.0,58901687.0,22469807.0,81371494.0,-2274483.0,,-2274483.0,-25758638.0,25758638.0,109404615.0,550035233.0,-17541171.0,567576404.0,376781362.0,190795042.0,190795042.0,659439848.0,1121794309.0,1781234157.0,1781234157.0
2022-12-31,0.0,0.132309,235776171.0,118881647.0,65743279.0,905420877.0,235776171.0,170032892.0,-23338115.0,23338115.0,118881647.0,118881647.0,1352527102.0,170801142.0,532035156.0,532035156.0,0.223385,0.223385,118881647.0,118881647.0,118881647.0,-8404117.0,127285764.0,127285764.0,19409013.0,146694777.0,-768250.0,,-768250.0,-23338115.0,23338115.0,170801142.0,447106225.0,-11119043.0,458225268.0,279329354.0,178895914.0,178895914.0,617907367.0,905420877.0,1523328244.0,1523328244.0
2021-12-31,0.0,0.197542,172298205.0,105215860.0,26605210.0,507848171.0,172298205.0,145692995.0,-8011598.0,8011598.0,105215860.0,105215860.0,762860644.0,145771621.0,475141814.0,475141814.0,0.221538,0.221538,105215860.0,105215860.0,105215860.0,-5267747.0,110483607.0,110483607.0,27197790.0,137681397.0,-78626.0,,-78626.0,-8011598.0,8011598.0,145771621.0,255012473.0,-12352513.0,267364986.0,165200669.0,102164317.0,102164317.0,400784094.0,507848171.0,908632265.0,908632265.0
2020-12-31,0.0,0.216676,82475659.0,52536764.0,5690839.0,182773094.0,82475659.0,76784820.0,-1138369.0,1138369.0,52536764.0,52536764.0,365153519.0,76947246.0,470213389.0,470213389.0,0.112,0.112,52536764.0,52536764.0,52536764.0,-6718947.0,59255711.0,59255711.0,16390740.0,75646451.0,-162426.0,,-162426.0,-1138369.0,1138369.0,76947246.0,182380425.0,-4838157.0,187218582.0,127048406.0,60170176.0,60170176.0,259327671.0,182773094.0,442100765.0,442100765.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,4557381.18,,,,,,,,,,,,,,
