,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,502754.059611,0.051469,-31453165.0,9768000.0,9768000.0,-144801585.0,74320074.0,1277382869.0,-21685165.0,-96005239.0,-18964155.0,55963155.0,36999000.0,-154066830.940389,-144801585.0,1902317998.0,520756281.0,520756281.0,-0.278,-0.278,-144801585.0,-144801585.0,-144801585.0,-654928.0,-144146657.0,-144146657.0,-7821737.0,-151968394.0,37610000.0,27842000.0,7256000.0,7256000.0,0.0,2512000.0,-18964155.0,55963155.0,36999000.0,-170613806.0,624935129.0,-10418000.0,635353129.0,373563767.0,261789362.0,261789362.0,454321323.0,1277382869.0,1731704192.0,1731704192.0
2022-12-31,818500.156382,0.153392,-26504260.0,5336000.0,5336000.0,-130438666.0,79610292.0,2522523883.0,-21168260.0,-100778552.0,-34084678.0,51188678.0,17104000.0,-134956165.843618,-130438666.0,3141881419.0,520756281.0,520756281.0,-0.25,-0.25,-130438666.0,-130438666.0,-130438666.0,-1782006.0,-128656660.0,-128656660.0,-23310570.0,-151967230.0,45172000.0,39836000.0,2360000.0,2360000.0,0.0,2976000.0,-34084678.0,51188678.0,17104000.0,-163055161.0,619357536.0,-9075000.0,628432536.0,318331276.0,310101260.0,310101260.0,456302375.0,2522523883.0,2978826258.0,2978826258.0
2021-12-31,6788101.513441,0.29116,231049464.0,23314000.0,23314000.0,96849475.0,85516135.0,2514650412.0,254363464.0,168847329.0,-14825637.0,29960637.0,15135000.0,80323576.513441,96849475.0,3135717530.0,497815763.0,497815763.0,0.195,0.195,96849475.0,96849475.0,96849475.0,-1598984.0,98448459.0,98448459.0,40438233.0,138886692.0,81904000.0,58590000.0,0.0,,0.0,23314000.0,-14825637.0,29960637.0,15135000.0,71808636.0,621067118.0,,621067118.0,302529682.0,318537436.0,318537436.0,692875754.0,2514650412.0,3207526166.0,3207526166.0
2020-12-31,2637800.0,0.2,132211143.0,13189000.0,13189000.0,22461659.0,96031356.0,2304095838.0,145400143.0,49368787.0,-23271083.0,41044083.0,17773000.0,11910459.0,22461659.0,3076552569.0,519754880.0,414607781.0,0.043,0.054,22461659.0,22461659.0,22461659.0,-2266365.0,24728024.0,24728024.0,-16403320.0,8324704.0,60917000.0,47728000.0,,,,13189000.0,-23271083.0,41044083.0,17773000.0,-17360113.0,772456731.0,,772456731.0,314366658.0,458090073.0,458090073.0,755096618.0,2304095838.0,3059192456.0,3059192456.0
