,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Other Special Charges,Write Off,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,13819107.888174,0.208008,298030269.0,66435417.0,66435417.0,218331100.0,103075358.0,725922282.0,364465686.0,261390328.0,-9283696.0,9283696.0,,165714790.888174,218331100.0,1260992851.0,509142000.0,506820000.0,0.43,0.43,218331100.0,218331100.0,218331100.0,18664701.0,199666399.0,199666399.0,52440233.0,252106632.0,73150187.0,10174890.0,66377785.0,66377785.0,,0.0,,-3460120.0,57632.0,-9283696.0,9283696.0,,188240141.0,535070569.0,535070569.0,229451199.0,305619370.0,305619370.0,723310710.0,725922282.0,1449232992.0,1449232992.0
2022-12-31,4683835.31718,0.161343,385670080.0,29030220.0,29030220.0,268559868.0,96573537.0,803888103.0,414700300.0,318126763.0,-800049.0,800049.0,880000.0,244213483.31718,268559868.0,1331845618.0,471157000.0,466150000.0,0.57,0.58,268559868.0,268559868.0,268559868.0,2431735.0,266128133.0,266128133.0,51198581.0,317326714.0,74261992.0,46782234.0,28918799.0,0.0,,-28918799.0,,-1550462.0,111421.0,-800049.0,800049.0,880000.0,243864771.0,527957515.0,527957515.0,297113664.0,230843851.0,230843851.0,771822286.0,803888103.0,1575710389.0,1575710389.0
2021-12-31,0.0,0.141149,654008779.0,0.0,0.0,479228107.0,54244297.0,835383207.0,654008779.0,599764482.0,806804.0,807196.0,1614000.0,479228107.0,479228107.0,1315693167.0,459842000.0,422389000.0,1.04,1.13,479228107.0,479228107.0,479228107.0,-35186729.0,514414836.0,514414836.0,84542450.0,598957286.0,51726591.0,52708000.0,0.0,,,0.0,,-981409.0,,806804.0,807196.0,1614000.0,546423923.0,480309960.0,480309960.0,233194648.0,247115312.0,247115312.0,1026733883.0,835383207.0,1862117090.0,1862117090.0
2020-12-31,-1148164.03969,0.066843,438546464.0,-17176923.0,-17176923.0,307044258.0,55614107.0,580192525.0,421369541.0,365755434.0,-35174.0,1262174.0,1227000.0,323073016.96031,307044258.0,974891575.0,414486000.0,411148000.0,0.74,0.75,307044258.0,307044258.0,307044258.0,-33085031.0,340129289.0,340129289.0,24363971.0,364493260.0,3195533.0,18736000.0,-17176923.0,,,7595087.0,9581836.0,1636456.0,,-35174.0,1262174.0,1227000.0,361332492.0,394699050.0,394699050.0,178702683.0,215996367.0,215996367.0,756031542.0,580192525.0,1336224067.0,1336224067.0
2019-12-31,,,,,,,,,,,,,534000.0,,,,,,,,,,,,,,,,,,,,55069110.0,,0.0,,,,,534000.0,,,,,,,,,,
