,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.225509,162388578.0,52693067.0,78753835.0,1422553982.0,162388578.0,83634743.0,-13297637.0,15598991.0,2301354.0,52693067.0,52693067.0,1718668782.0,81333389.0,869041000.0,869041000.0,0.06,0.06,52693067.0,52693067.0,52693067.0,,52693067.0,52693067.0,15342685.0,68035752.0,,,-13297637.0,15598991.0,2301354.0,81333389.0,296114800.0,-10216184.0,,,306330984.0,104807274.0,201523710.0,201523710.0,,377448189.0,1422553982.0,1800002171.0,1800002171.0
2022-12-31,0.0,0.197844,903235839.0,691246414.0,32715555.0,4560525451.0,903235839.0,870520284.0,-8211977.0,8785165.0,573188.0,691246414.0,691246414.0,5036584588.0,869947096.0,52000000.0,52000000.0,13.2932,13.2932,691246414.0,691246414.0,691246414.0,0.0,691246414.0,691246414.0,170488705.0,861735119.0,24059368.0,24059368.0,-8211977.0,8785165.0,573188.0,869947096.0,476059137.0,-24059368.0,6620000.0,6620000.0,500118505.0,305753607.0,194364898.0,194364898.0,145560000.0,1346006233.0,4560525451.0,5906531684.0,5906531684.0
2021-12-31,0.0,0.237494,446815392.0,316143014.0,9375143.0,3807807818.0,446815392.0,437440249.0,-18919030.0,19025713.0,106683.0,316143014.0,316143014.0,4246082647.0,437333566.0,52000000.0,52000000.0,6.079673,6.079673,316143014.0,316143014.0,316143014.0,-2900420.0,319043434.0,319043434.0,99371102.0,418414536.0,1471702.0,1471702.0,-18919030.0,19025713.0,106683.0,437329700.0,435809686.0,2768298.0,6910000.0,6910000.0,426131388.0,227542789.0,198588599.0,26580000.0,172008599.0,873139386.0,3810272961.0,4683412347.0,4683412347.0
