,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2,173766543.0,105585509.0,40919135.0,723090004.0,173766543.0,132847408.0,3735903.0,829031.0,4564934.0,105585509.0,105585509.0,1050987019.0,128282474.0,19384226.0,19384226.0,5.45,5.45,105585509.0,105585509.0,105585509.0,105585509.0,105585509.0,26432868.0,132018377.0,11243753.0,11243753.0,3735903.0,829031.0,4564934.0,128282474.0,327897015.0,-11243753.0,339140768.0,339140768.0,339140768.0,456179489.0,723090004.0,1179269493.0,1179269493.0
2022-12-31,0.0,0.21,149497792.0,81043053.0,45628493.0,677155369.0,149497792.0,103869299.0,288783.0,997167.0,1285950.0,81043053.0,81043053.0,959905831.0,102583349.0,19384226.0,19384226.0,4.18,4.18,81043053.0,81043053.0,81043053.0,81043053.0,81043053.0,21829079.0,102872132.0,15905383.0,15905383.0,288783.0,997167.0,1285950.0,102583349.0,282750462.0,-15905383.0,298655845.0,298655845.0,298655845.0,385333811.0,677155369.0,1062489180.0,1062489180.0
2021-12-31,0.0,0.21,122427807.0,37738124.0,74279556.0,546806245.0,122427807.0,48148251.0,52145.0,300666.0,352811.0,37738124.0,37738124.0,713028659.0,47795440.0,19384226.0,19384226.0,1.95,1.95,37738124.0,37738124.0,37738124.0,37738124.0,37738124.0,10109461.0,47847585.0,9288612.0,9288612.0,52145.0,300666.0,352811.0,38506828.0,166222414.0,-9288612.0,166222414.0,166222414.0,166222414.0,204729242.0,546806245.0,751535487.0,751535487.0
2020-12-31,0.0,0.2,73319814.0,-8989657.0,76362192.0,522219222.0,73319814.0,-3042378.0,242012.0,13120.0,255132.0,-8989657.0,-8989657.0,691655667.0,-3297510.0,19384226.0,19384226.0,-0.46,-0.46,-8989657.0,-8989657.0,-8989657.0,-8989657.0,-8989657.0,5934159.0,-3055498.0,,,242012.0,13120.0,255132.0,-3297510.0,169436445.0,-9831312.0,179267757.0,179267757.0,179267757.0,166138935.0,522219222.0,688358157.0,688358157.0
