,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,10624657.10181,0.1319,1117319459.71,80550849.9,80550849.9,876345972.25,188155905.88,3109792047.54,1197870309.61,1009714403.73,19009444.26,165093.84,19174538.1,806419779.45181,876345972.25,3173504125.62,990539865.63,650000000.0,650000000.0,1.35,1.35,876345972.25,876345972.25,876345972.25,876345972.25,876345972.25,133203337.64,1009549309.89,80550849.9,,80550849.9,-80550849.9,,19009444.26,165093.84,19174538.1,909989015.73,63712078.08,-8624404.3,72336482.38,7287135.52,65049346.86,65049346.86,973701093.81,3109792047.54,4083493141.35,4083493141.35
2022-12-31,-21647115.891304,0.1292,1205875494.15,-167547336.62,-167547336.62,738998378.87,189177519.64,3895928183.53,1038328157.53,849150637.89,3629581.97,461934.08,4091516.05,884898599.598696,738998378.87,3956100538.11,845059121.84,650000000.0,650000000.0,1.14,1.14,738998378.87,738998378.87,738998378.87,738998378.87,738998378.87,109690324.94,848688703.81,-167547336.62,,-167547336.62,167547336.62,,3629581.97,461934.08,4091516.05,1012606458.46,60172354.58,-6865029.59,67037384.17,6741241.07,60296143.1,60296143.1,1072778813.04,3895928183.53,4968706996.57,4968706996.57
2021-12-31,0.0,0.1243,1260189111.9,0.0,0.0,917431519.08,212334385.98,3511256498.24,1260189111.9,1047854725.92,2696016.9,152339.28,2848356.18,917431519.08,917431519.08,3555637589.05,1045006369.74,650000000.0,650000000.0,1.41,1.41,917431519.08,917431519.08,917431519.08,917431519.08,917431519.08,130270867.56,1047702386.64,,,0.0,,,2696016.9,152339.28,2848356.18,1045006369.74,44381090.81,-19151215.93,63532306.74,9736282.83,53796023.91,53796023.91,1089387460.55,3511256498.24,4600643958.79,4600643958.79
2020-12-31,0.0,0.1273,1368616937.95,,,1011423714.59,209596439.53,2384014712.39,1368616937.95,1159020498.42,3610878.31,58495.78,3669374.09,1011423714.59,1011423714.59,2413644135.4,1155351124.33,650000000.0,650000000.0,1.56,1.56,1011423714.59,1011423714.59,1011423714.59,1011423714.59,1011423714.59,147538288.05,1158962002.64,,,,,,3610878.31,58495.78,3669374.09,1155351124.33,29629423.01,-33793048.73,63422471.74,7780407.06,55642064.68,55642064.68,1184980547.34,2384014712.39,3568995259.73,3568995259.73
2019-12-31,,,,5968717.68,5968717.68,,,,,,,,,,,,,,,,,,,,,,,,5968717.68,21049798.85,,,5968717.68,,,,,,,,,,,,,,
