,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Write Off,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-16416.720432,0.197623,650829312.0,-83071.0,-83071.0,387746155.0,179108872.0,1706912291.0,650746241.0,471637369.0,11692405.0,11692405.0,387812809.279568,387746155.0,1999910361.0,466308931.0,160000000.0,160000000.0,2.42,2.42,387746155.0,387746155.0,387746155.0,387746155.0,387746155.0,95500548.0,483246703.0,-83071.0,,,,-83071.0,11692405.0,11692405.0,471637369.0,292998070.0,-13185741.0,-5328438.0,311512249.0,5375539.0,306136710.0,301930710.0,4206000.0,764635439.0,1706912291.0,2471547730.0,2471547730.0
2022-12-31,-37911.762218,0.198363,556899491.0,-191123.0,-191123.0,300563655.0,186119469.0,1598889344.0,556708368.0,370588899.0,4539652.0,4539652.0,300716866.237782,300563655.0,1884716863.0,380285641.0,160000000.0,160000000.0,1.88,1.88,300563655.0,300563655.0,300563655.0,300563655.0,300563655.0,74373773.0,374937428.0,-191123.0,,,,-191123.0,4539652.0,4539652.0,370588899.0,285827519.0,-14825412.0,9696742.0,290956189.0,4098539.0,286857650.0,283988650.0,2869000.0,656416418.0,1598889344.0,2255305762.0,2255305762.0
2021-12-31,35096.108889,0.18056,357074996.0,194374.0,194374.0,159374186.0,166536362.0,1344725398.0,357269370.0,190733008.0,3564131.0,3564131.0,159214908.108889,159374186.0,1595153039.0,195218266.0,160000000.0,160000000.0,1.0,1.0,159374186.0,159374186.0,159374186.0,159374186.0,159374186.0,35117327.0,194491513.0,194374.0,,,,194374.0,3564131.0,3564131.0,190733008.0,250427641.0,-16129490.0,4485258.0,262071873.0,4964705.0,257107168.0,253568168.0,3539000.0,441160649.0,1344725398.0,1785886047.0,1785886047.0
2020-12-31,-2809.526192,0.165676,412998288.0,-16958.0,-16958.0,230821544.0,142589428.0,1351915723.0,412981330.0,270391902.0,6281874.0,6281874.0,230835692.473808,230821544.0,1605898928.0,274806403.0,160000000.0,160000000.0,1.44,1.44,230821544.0,230821544.0,230821544.0,230821544.0,230821544.0,45835274.0,276656818.0,-16958.0,-4414501.0,4414501.0,,-16958.0,6281874.0,6281874.0,270391902.0,253983205.0,-15700632.0,4414501.0,265269336.0,6633137.0,258636199.0,253428199.0,5208000.0,524375107.0,1351915723.0,1876290830.0,1876290830.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,549105.0,0.0,,,,,,,,,,,,,,,,
