,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,2178923.9922,0.1458,333223457.0,14944609.0,14944609.0,183225901.0,131647701.0,2095573325.0,348168066.0,216520365.0,12515981.0,636984.0,13152965.0,170460215.9922,183225901.0,2350842412.0,189017276.0,667473868.0,666616451.0,0.27,0.27,183225901.0,183225901.0,183225901.0,-1174864.0,184400765.0,184400765.0,31482616.0,215883381.0,143395741.0,95478524.0,18641998.0,9278989.0,-9363009.0,0.0,,,32972608.0,-3697389.0,12515981.0,636984.0,13152965.0,59971659.0,255269087.0,-6558208.0,261827295.0,74400505.0,187426790.0,187426790.0,315240746.0,2095573325.0,2410814071.0,2410814071.0
2022-12-31,-1033669.9319,0.1861,619991680.0,-5554379.0,-5554379.0,394095594.0,125514117.0,2230517941.0,614437301.0,488923184.0,3846666.0,129291.0,3975957.0,398616303.0681,394095594.0,2524887403.0,436638553.0,605219377.0,598430436.0,0.65,0.66,394095594.0,394095594.0,394095594.0,-3747659.0,397843253.0,397843253.0,90950640.0,488793893.0,125750667.0,68571541.0,3963965.0,2519662.0,-1444303.0,0.0,,,62733505.0,-9518344.0,3846666.0,129291.0,3975957.0,359196560.0,294369462.0,-4450722.0,298820184.0,77540234.0,221279950.0,221279950.0,653566022.0,2230517941.0,2884083963.0,2884083963.0
2021-12-31,-239985.5427,0.2589,240727291.0,-926943.0,-926943.0,78430484.0,131946193.0,1674706050.0,239800348.0,107854155.0,2773912.0,285910.0,3059822.0,79117441.4573,78430484.0,1925954350.0,88874502.0,659777896.0,651952791.0,0.118182,0.118182,78430484.0,78430484.0,78430484.0,-1289114.0,79719598.0,79719598.0,27848647.0,107568245.0,51568997.0,31830497.0,0.0,,,0.0,,,20665443.0,-926943.0,2773912.0,285910.0,3059822.0,53225336.0,251248300.0,-4481308.0,255729608.0,67083008.0,188646600.0,188646600.0,304473636.0,1674706050.0,1979179686.0,1979179686.0
2020-12-31,0.0,0.2,53013975.0,0.0,0.0,-91364581.0,137549394.0,1409479485.0,53013975.0,-84535419.0,2661511.0,688634.0,3350145.0,-91364581.0,-91364581.0,1652867817.0,-76713208.0,649931624.0,649931624.0,-0.136364,-0.136364,-91364581.0,-91364581.0,-91364581.0,-677544.0,-90687037.0,-90687037.0,5462984.0,-85224053.0,34919844.0,42742055.0,0.0,,,,,0.0,-7822211.0,,2661511.0,688634.0,3350145.0,-122805408.0,243388332.0,-7497196.0,250885528.0,58574805.0,192310723.0,192310723.0,120582924.0,1409479485.0,1530062409.0,1530062409.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-406499070.0,-406499070.0,,-204149047.0,,,,,,,,,,,,,,
