,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-2598143.221664,0.009594,61538797.18,-270799489.62,-270799489.62,-465357554.57,66357596.92,724029266.2,-209260692.44,-275618289.36,-277958302.95,278458028.36,499725.41,-197156208.171664,-465357554.57,838603723.99,-275618289.36,932507097.0,932507097.0,-0.5,-0.5,-465357554.57,-465357554.57,-465357554.57,83402764.84,-548760319.41,-548760319.41,-5315998.31,-554076317.72,-265020711.7,5778777.92,,,,,-270799489.62,-277958302.95,278458028.36,499725.41,-11097303.07,114574457.79,,-5786329.98,120360787.77,39504468.21,80856319.56,80856319.56,103477154.72,724029266.2,827506420.92,827506420.92
2022-12-31,-12497261.854,0.2,90526164.88,-62486309.27,-62486309.27,-272038664.1,79369514.3,804082467.29,28039855.61,-51329658.69,-260960218.07,261334706.89,374488.82,-222049616.684,-272038664.1,883978354.62,-51329658.69,932507097.0,932507097.0,-0.29,-0.29,-272038664.1,-272038664.1,-272038664.1,43398884.59,-315437548.69,-315437548.69,2773183.11,-312664365.58,-45594403.92,16891905.35,383226.19,383226.19,,0.0,-62486309.27,-260960218.07,261334706.89,374488.82,-6109743.59,79895887.33,-16508679.16,-55268464.91,135164352.24,35409636.61,99754715.63,99754715.63,73786143.74,804082467.29,877868611.03,877868611.03
2021-12-31,518706901.8612,0.26,270314584.08,1995026545.62,1995026545.62,1007508394.66,85576317.27,621322036.01,2265341129.7,2179764812.43,-351355556.12,354354535.58,2998979.46,-468811249.0988,1007508394.66,745756895.95,1952182791.17,932507097.0,932507097.0,1.08,1.08,1007508394.66,1007508394.66,1007508394.66,-196797823.43,1204306218.09,1204306218.09,621104058.76,1825410276.85,2222608566.88,22149417.13,-90403766.08,-90403766.08,,227582021.26,2085430311.7,-351355556.12,354354535.58,2998979.46,-45842733.91,124434859.94,-59650956.85,-34218633.42,218304450.21,36556384.52,181748065.69,181748065.69,78592126.03,621322036.01,699914162.04,699914162.04
2020-12-31,31640034.9488,0.02,571278494.4,1582001747.44,1582001747.44,1135385414.89,252508923.06,712935452.94,2153280241.84,1900771318.78,-279500426.0,280907298.75,1406872.75,-414976297.6012,1135385414.89,961178831.99,1661493058.17,921812495.0,921812495.0,1.23,1.23,1135385414.89,1135385414.89,1135385414.89,-429800435.48,1565185850.37,1565185850.37,54678169.66,1619864020.03,1844887254.01,23607245.96,1213534.59,1213534.59,,239278260.61,1580788212.85,-279500426.0,280907298.75,1406872.75,54477192.02,248243379.05,-129087118.2,,377330497.25,30313454.15,347017043.1,347017043.1,302720571.07,712935452.94,1015656024.01,1015656024.01
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3899010.05,3899010.05,0.0,390391104.12,,,,,,,-216429712.0,,,,,,,,,
