,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-03-31,31639709.511,0.1938,2906306180.0,163259595.0,163259595.0,1756919607.0,1557763611.0,11828851135.0,3069565775.0,1511802164.0,123428108.0,123428108.0,1625299721.511,1756919607.0,12868125419.0,1801199633.0,76625000.0,76625000.0,22.93,22.93,1756919607.0,1756919607.0,1756919607.0,1756919607.0,1756919607.0,422391740.0,2179311347.0,544081075.0,2709766.0,4946152.0,4946152.0,378111714.0,158313443.0,123428108.0,123428108.0,1511802164.0,1039274284.0,-77375290.0,-12644212.0,1129293786.0,776776437.0,352517349.0,352517349.0,2551076448.0,11828851135.0,14379927583.0,14379927583.0
2023-03-31,20689271.1025,0.1933,3057605038.0,107031925.0,107031925.0,1745675731.0,1548223645.0,11839100925.0,3164636963.0,1616413318.0,41146908.0,41146908.0,1659333077.1025,1745675731.0,12831433117.0,1766507831.0,76625000.0,76625000.0,22.78,22.78,1745675731.0,1745675731.0,1745675731.0,1745675731.0,1745675731.0,407794139.0,2153469870.0,495909644.0,1915680.0,3107669.0,3107669.0,386962039.0,103924256.0,41146908.0,41146908.0,1616413318.0,992332192.0,-89873019.0,-11143257.0,1093348468.0,743273973.0,350074495.0,350074495.0,2608745510.0,11839100925.0,14447846435.0,14447846435.0
2022-03-31,8841525.7536,0.1886,3067345232.0,46879776.0,46879776.0,1520803829.0,1573862684.0,11092504997.0,3114225008.0,1540362324.0,19543267.0,19543267.0,1482765578.7536,1520803829.0,12041964334.0,1608591574.0,76625000.0,76625000.0,19.847358,19.85,1520803829.0,1520803829.0,1520803829.0,1520803829.0,1520803829.0,369398585.0,1890202414.0,330296823.0,1806207.0,4089665.0,4089665.0,281610840.0,42790111.0,19543267.0,19543267.0,1540362324.0,949459337.0,-64770961.0,-10114349.0,1024344647.0,686462219.0,337882428.0,337882428.0,2489821661.0,11092504997.0,13582326658.0,13582326658.0
2021-03-31,15923638.4664,0.1813,2414329341.0,87830328.0,87830328.0,1061340029.0,1555979481.0,9951852793.0,2502159669.0,946180188.0,20453629.0,20453629.0,989433339.4664,1061340029.0,10781428718.0,1054464145.0,76625000.0,76625000.0,13.85,13.85,1061340029.0,1061340029.0,1061340029.0,1061340029.0,1061340029.0,235017402.0,1296357431.0,329723614.0,28432667.0,3337941.0,3337941.0,241893286.0,84492387.0,20453629.0,20453629.0,946180188.0,829575925.0,-41960666.0,-11768166.0,883304757.0,557667942.0,325636815.0,325636815.0,1775756113.0,9951852793.0,11727608906.0,11727608906.0
